Phi[deg],Theta[deg],re(rETheta)[mV],im(rETheta)[mV]
-180,0,355.017,-854.184
-178,0,354.784,-857.413
-176,0,354.119,-859.597
-174,0,353.022,-860.734
-172,0,351.495,-860.822
-170,0,349.54,-859.862
-168,0,347.159,-857.853
-166,0,344.356,-854.8
-164,0,341.132,-850.705
-162,0,337.493,-845.574
-160,0,333.443,-839.412
-158,0,328.986,-832.228
-156,0,324.129,-824.03
-154,0,318.877,-814.828
-152,0,313.236,-804.633
-150,0,307.214,-793.458
-148,0,300.817,-781.316
-146,0,294.054,-768.222
-144,0,286.933,-754.192
-142,0,279.462,-739.244
-140,0,271.65,-723.395
-138,0,263.508,-706.664
-136,0,255.044,-689.072
-134,0,246.27,-670.641
-132,0,237.196,-651.393
-130,0,227.833,-631.351
-128,0,218.192,-610.54
-126,0,208.285,-588.985
-124,0,198.125,-566.713
-122,0,187.723,-543.75
-120,0,177.093,-520.125
-118,0,166.246,-495.866
-116,0,155.198,-471.003
-114,0,143.96,-445.565
-112,0,132.546,-419.586
-110,0,120.972,-393.095
-108,0,109.249,-366.124
-106,0,97.3942,-338.708
-104,0,85.4203,-310.88
-102,0,73.3423,-282.672
-100,0,61.175,-254.12
-98,0,48.9331,-225.259
-96,0,36.6316,-196.123
-94,0,24.2855,-166.748
-92,0,11.9098,-137.17
-90,0,-0.480407,-107.425
-88,0,-12.87,-77.5487
-86,0,-25.244,-47.5781
-84,0,-37.5872,-17.5497
-82,0,-49.8846,12.5002
-80,0,-62.1212,42.5349
-78,0,-74.2822,72.5177
-76,0,-86.3526,102.412
-74,0,-98.3178,132.182
-72,0,-110.163,161.791
-70,0,-121.875,191.202
-68,0,-133.437,220.381
-66,0,-144.837,249.291
-64,0,-156.061,277.897
-62,0,-167.095,306.165
-60,0,-177.925,334.06
-58,0,-188.538,361.547
-56,0,-198.921,388.595
-54,0,-209.063,415.169
-52,0,-218.949,441.237
-50,0,-228.569,466.767
-48,0,-237.91,491.729
-46,0,-246.961,516.092
-44,0,-255.712,539.825
-42,0,-264.151,562.902
