Phi[deg],Theta[deg],re(rETheta)[mV],im(rETheta)[mV]
-180,0,-199.84,-137.59
-178,0,-193.714,-133.057
-176,0,-187.351,-128.361
-174,0,-180.761,-123.509
-172,0,-173.95,-118.507
-170,0,-166.927,-113.361
-168,0,-159.701,-108.076
-166,0,-152.28,-102.659
-164,0,-144.674,-97.1178
-162,0,-136.891,-91.4579
-160,0,-128.942,-85.6867
-158,0,-120.835,-79.811
-156,0,-112.582,-73.8381
-154,0,-104.191,-67.7752
-152,0,-95.673,-61.6298
-150,0,-87.0387,-55.4093
-148,0,-78.2983,-49.1212
-146,0,-69.4626,-42.7733
-144,0,-60.5422,-36.3733
-142,0,-51.548,-29.929
-140,0,-42.4911,-23.4483
-138,0,-33.3824,-16.9389
-136,0,-24.233,-10.4089
-134,0,-15.0541,-3.86627
-132,0,-5.8568,2.6811
-130,0,3.3476,9.22521
-128,0,12.5479,15.7581
-126,0,21.7329,22.2717
-124,0,30.8915,28.7583
-122,0,40.0124,35.2098
-120,0,49.0846,41.6184
-118,0,58.0969,47.9763
-116,0,67.0385,54.2757
-114,0,75.8984,60.509
-112,0,84.6659,66.6686
-110,0,93.3301,72.747
-108,0,101.881,78.7367
-106,0,110.307,84.6305
-104,0,118.599,90.4212
-102,0,126.747,96.1018
-100,0,134.74,101.665
-98,0,142.569,107.105
-96,0,150.224,112.414
-94,0,157.696,117.586
-92,0,164.977,122.615
-90,0,172.056,127.494
-88,0,178.925,132.219
-86,0,185.577,136.782
-84,0,192.002,141.178
-82,0,198.194,145.402
-80,0,204.144,149.45
-78,0,209.845,153.315
-76,0,215.291,156.993
-74,0,220.474,160.48
-72,0,225.389,163.772
-70,0,230.029,166.864
-68,0,234.389,169.753
-66,0,238.463,172.435
-64,0,242.247,174.907
-62,0,245.735,177.165
-60,0,248.925,179.208
-58,0,251.811,181.033
-56,0,254.39,182.637
-54,0,256.659,184.019
-52,0,258.616,185.176
-50,0,260.257,186.108
-48,0,261.581,186.812
-46,0,262.587,187.29
-44,0,263.273,187.539
-42,0,263.638,187.56
-40,0,263.682,187.352
-38,0,263.404,186.916
-36,0,262.806,186.252
-34,0,261.887,185.361
-32,0,260.65,184.245
-30,0,259.094,182.904
-28,0,257.224,181.34
-26,0,255.039,179.555
-24,0,252.544,177.551
-22,0,249.742,175.331
-20,0,246.635,172.898
-18,0,243.227,170.254
-16,0,239.524,167.402
-14,0,235.528,164.347
-12,0,231.245,161.091
-10,0,226.681,157.639
-8,0,221.841,153.995
-6,0,216.73,150.163
-4,0,211.355,146.148
-2,0,205.723,141.956
0,0,199.84,137.59
2,0,193.714,133.057
4,0,187.351,128.361
6,0,180.761,123.509
8,0,173.95,118.507
10,0,166.927,113.361
12,0,159.701,108.076
14,0,152.28,102.659
16,0,144.674,97.1178
18,0,136.891,91.4579
20,0,128.942,85.6867
22,0,120.835,79.811
24,0,112.582,73.8381
26,0,104.191,67.7752
28,0,95.673,61.6298
30,0,87.0387,55.4093
32,0,78.2983,49.1212
34,0,69.4626,42.7733
36,0,60.5422,36.3733
38,0,51.548,29.929
40,0,42.4911,23.4483
42,0,33.3824,16.9389
44,0,24.233,10.4089
46,0,15.0541,3.86627
48,0,5.8568,-2.6811
50,0,-3.3476,-9.22521
52,0,-12.5479,-15.7581
54,0,-21.7329,-22.2717
56,0,-30.8915,-28.7583
58,0,-40.0124,-35.2098
60,0,-49.0846,-41.6184
62,0,-58.0969,-47.9763
64,0,-67.0385,-54.2757
66,0,-75.8984,-60.509
68,0,-84.6659,-66.6686
70,0,-93.3301,-72.747
72,0,-101.881,-78.7367
74,0,-110.307,-84.6305
76,0,-118.599,-90.4212
78,0,-126.747,-96.1018
80,0,-134.74,-101.665
82,0,-142.569,-107.105
84,0,-150.224,-112.414
86,0,-157.696,-117.586
88,0,-164.977,-122.615
90,0,-172.056,-127.494
92,0,-178.925,-132.219
94,0,-185.577,-136.782
96,0,-192.002,-141.178
98,0,-198.194,-145.402
100,0,-204.144,-149.45
102,0,-209.845,-153.315
104,0,-215.291,-156.993
106,0,-220.474,-160.48
108,0,-225.389,-163.772
110,0,-230.029,-166.864
112,0,-234.389,-169.753
114,0,-238.463,-172.435
116,0,-242.247,-174.907
118,0,-245.735,-177.165
120,0,-248.925,-179.208
122,0,-251.811,-181.033
124,0,-254.39,-182.637
126,0,-256.659,-184.019
128,0,-258.616,-185.176
130,0,-260.257,-186.108
132,0,-261.581,-186.812
134,0,-262.587,-187.29
136,0,-263.273,-187.539
138,0,-263.638,-187.56
140,0,-263.682,-187.352
142,0,-263.404,-186.916
144,0,-262.806,-186.252
146,0,-261.887,-185.361
148,0,-260.65,-184.245
150,0,-259.094,-182.904
152,0,-257.224,-181.34
154,0,-255.039,-179.555
156,0,-252.544,-177.551
158,0,-249.742,-175.331
160,0,-246.635,-172.898
162,0,-243.227,-170.254
164,0,-239.524,-167.402
166,0,-235.528,-164.347
168,0,-231.245,-161.091
170,0,-226.681,-157.639
172,0,-221.841,-153.995
174,0,-216.73,-150.163
176,0,-211.355,-146.148
178,0,-205.723,-141.956
180,0,-199.84,-137.59
-180,2,-175.673,-139.427
-178,2,-169.055,-135.175
-176,2,-162.182,-130.75
-174,2,-155.063,-126.155
-172,2,-147.71,-121.395
-170,2,-140.134,-116.474
-168,2,-132.345,-111.399
-166,2,-124.356,-106.174
-164,2,-116.178,-100.805
-162,2,-107.823,-95.2975
-160,2,-99.3044,-89.6581
-158,2,-90.6336,-83.8928
-156,2,-81.8236,-78.0084
-154,2,-72.8873,-72.0114
-152,2,-63.8377,-65.9091
-150,2,-54.6878,-59.7085
-148,2,-45.4507,-53.4172
-146,2,-36.1396,-47.0427
-144,2,-26.7676,-40.5928
-142,2,-17.3479,-34.0755
-140,2,-7.89362,-27.499
-138,2,1.58221,-20.8716
-136,2,11.0666,-14.2017
-134,2,20.5467,-7.49794
-132,2,30.0097,-0.768992
-130,2,39.4432,5.97633
-128,2,48.8345,12.7291
-126,2,58.1717,19.4804
-124,2,67.4425,26.2211
-122,2,76.6353,32.9421
-120,2,85.7385,39.6344
-118,2,94.7408,46.2888
-116,2,103.631,52.8961
-114,2,112.399,59.4471
-112,2,121.034,65.9329
-110,2,129.526,72.3444
-108,2,137.865,78.6725
-106,2,146.042,84.9083
-104,2,154.048,91.0431
-102,2,161.874,97.0682
-100,2,169.511,102.975
-98,2,176.952,108.755
-96,2,184.189,114.4
-94,2,191.214,119.902
-92,2,198.021,125.254
-90,2,204.603,130.446
-88,2,210.955,135.473
-86,2,217.069,140.326
-84,2,222.941,145
-82,2,228.565,149.486
-80,2,233.938,153.78
-78,2,239.053,157.874
-76,2,243.908,161.763
-74,2,248.498,165.442
-72,2,252.821,168.905
-70,2,256.872,172.147
-68,2,260.65,175.164
-66,2,264.152,177.953
-64,2,267.375,180.508
-62,2,270.318,182.828
-60,2,272.979,184.908
-58,2,275.357,186.746
-56,2,277.451,188.34
-54,2,279.26,189.688
-52,2,280.783,190.788
-50,2,282.021,191.64
-48,2,282.973,192.243
-46,2,283.639,192.595
-44,2,284.02,192.698
-42,2,284.116,192.552
-40,2,283.929,192.157
-38,2,283.459,191.515
-36,2,282.707,190.627
-34,2,281.676,189.495
-32,2,280.365,188.121
-30,2,278.779,186.509
-28,2,276.917,184.66
-26,2,274.783,182.579
-24,2,272.38,180.268
-22,2,269.708,177.732
-20,2,266.772,174.975
-18,2,263.574,172.001
-16,2,260.117,168.816
-14,2,256.405,165.424
-12,2,252.441,161.83
-10,2,248.228,158.041
-8,2,243.771,154.062
-6,2,239.073,149.899
-4,2,234.138,145.558
-2,2,228.972,141.046
0,2,223.579,136.369
2,2,217.962,131.535
4,2,212.129,126.549
6,2,206.082,121.42
8,2,199.829,116.154
10,2,193.375,110.759
12,2,186.724,105.242
14,2,179.885,99.6112
16,2,172.862,93.8732
18,2,165.662,88.0362
20,2,158.292,82.1077
22,2,150.759,76.0957
24,2,143.07,70.0078
26,2,135.232,63.8518
28,2,127.253,57.6355
30,2,119.141,51.3667
32,2,110.904,45.0532
34,2,102.55,38.7026
36,2,94.0875,32.3227
38,2,85.5255,25.9211
40,2,76.8729,19.5053
42,2,68.1387,13.083
44,2,59.3324,6.66162
46,2,50.4635,0.248453
48,2,41.5418,-6.14918
50,2,32.5772,-12.5241
52,2,23.5798,-18.8692
54,2,14.56,-25.1774
56,2,5.52812,-31.442
58,2,-3.50512,-37.656
60,2,-12.529,-43.813
62,2,-21.5326,-49.9062
64,2,-30.505,-55.9294
66,2,-39.4351,-61.8763
68,2,-48.3116,-67.7406
70,2,-57.1234,-73.5164
72,2,-65.8592,-79.1978
74,2,-74.5075,-84.779
76,2,-83.057,-90.2544
78,2,-91.4963,-95.6185
80,2,-99.8141,-100.866
82,2,-107.999,-105.992
84,2,-116.04,-110.991
86,2,-123.925,-115.858
88,2,-131.644,-120.589
90,2,-139.186,-125.178
92,2,-146.539,-129.622
94,2,-153.693,-133.915
96,2,-160.638,-138.055
98,2,-167.362,-142.036
100,2,-173.857,-145.855
102,2,-180.111,-149.508
104,2,-186.116,-152.991
106,2,-191.862,-156.301
108,2,-197.34,-159.435
110,2,-202.542,-162.388
112,2,-207.458,-165.159
114,2,-212.081,-167.745
116,2,-216.404,-170.141
118,2,-220.418,-172.347
120,2,-224.118,-174.359
122,2,-227.497,-176.175
124,2,-230.548,-177.794
126,2,-233.267,-179.212
128,2,-235.649,-180.428
130,2,-237.689,-181.44
132,2,-239.382,-182.248
134,2,-240.727,-182.849
136,2,-241.719,-183.242
138,2,-242.356,-183.427
140,2,-242.637,-183.403
142,2,-242.561,-183.168
144,2,-242.126,-182.723
146,2,-241.333,-182.067
148,2,-240.181,-181.2
150,2,-238.673,-180.122
152,2,-236.81,-178.834
154,2,-234.593,-177.337
156,2,-232.027,-175.63
158,2,-229.113,-173.715
160,2,-225.856,-171.593
162,2,-222.261,-169.266
164,2,-218.332,-166.735
166,2,-214.075,-164.002
168,2,-209.497,-161.069
170,2,-204.603,-157.939
172,2,-199.401,-154.614
174,2,-193.899,-151.097
176,2,-188.104,-147.391
178,2,-182.026,-143.5
180,2,-175.673,-139.427
-180,4,-151.222,-141.913
-178,4,-144.132,-137.922
-176,4,-136.767,-133.745
-174,4,-129.139,-129.384
-172,4,-121.262,-124.844
-170,4,-113.149,-120.127
-168,4,-104.814,-115.237
-166,4,-96.2712,-110.179
-164,4,-87.5357,-104.958
-162,4,-78.6223,-99.5782
-160,4,-69.5461,-94.045
-158,4,-60.3226,-88.3641
-156,4,-50.9673,-82.5416
-154,4,-41.496,-76.5837
-152,4,-31.9243,-70.4971
-150,4,-22.2681,-64.2887
-148,4,-12.5432,-57.9658
-146,4,-2.7653,-51.536
-144,4,7.0498,-45.0073
-142,4,16.8866,-38.3878
-140,4,26.7297,-31.686
-138,4,36.5638,-24.9106
-136,4,46.3741,-18.0707
-134,4,56.1457,-11.1756
-132,4,65.8642,-4.23468
-130,4,75.5156,2.74235
-128,4,85.0862,9.74558
-126,4,94.5625,16.765
-124,4,103.932,23.7903
-122,4,113.181,30.8113
-120,4,122.299,37.8173
-118,4,131.274,44.798
-116,4,140.095,51.7427
-114,4,148.75,58.6408
-112,4,157.231,65.4816
-110,4,165.528,72.2543
-108,4,173.631,78.9485
-106,4,181.533,85.5536
-104,4,189.225,92.059
-102,4,196.701,98.4544
-100,4,203.953,104.729
-98,4,210.975,110.874
-96,4,217.763,116.879
-94,4,224.309,122.733
-92,4,230.611,128.428
-90,4,236.663,133.955
-88,4,242.463,139.304
-86,4,248.007,144.466
-84,4,253.292,149.434
-82,4,258.317,154.2
-80,4,263.079,158.755
-78,4,267.578,163.092
-76,4,271.811,167.206
-74,4,275.779,171.088
-72,4,279.481,174.734
-70,4,282.918,178.137
-68,4,286.088,181.293
-66,4,288.994,184.197
-64,4,291.636,186.843
-62,4,294.014,189.23
-60,4,296.13,191.353
-58,4,297.986,193.21
-56,4,299.582,194.798
-54,4,300.921,196.116
-52,4,302.004,197.162
-50,4,302.833,197.935
-48,4,303.41,198.436
-46,4,303.737,198.664
-44,4,303.816,198.62
-42,4,303.649,198.305
-40,4,303.238,197.721
-38,4,302.584,196.871
-36,4,301.691,195.755
-34,4,300.559,194.378
-32,4,299.191,192.743
-30,4,297.59,190.853
-28,4,295.756,188.714
-26,4,293.692,186.329
-24,4,291.399,183.704
-22,4,288.88,180.844
-20,4,286.136,177.755
-18,4,283.169,174.442
-16,4,279.982,170.913
-14,4,276.575,167.174
-12,4,272.951,163.231
-10,4,269.111,159.092
-8,4,265.058,154.765
-6,4,260.794,150.256
-4,4,256.32,145.575
-2,4,251.639,140.728
0,4,246.752,135.724
2,4,241.663,130.571
4,4,236.374,125.278
6,4,230.886,119.852
8,4,225.204,114.303
10,4,219.33,108.639
12,4,213.266,102.869
14,4,207.017,97.0003
16,4,200.586,91.0428
18,4,193.977,85.0046
20,4,187.193,78.8942
22,4,180.239,72.7203
24,4,173.12,66.491
26,4,165.84,60.2149
28,4,158.404,53.8999
30,4,150.819,47.5544
32,4,143.089,41.1861
34,4,135.22,34.803
36,4,127.22,28.4128
38,4,119.095,22.0229
40,4,110.852,15.6408
42,4,102.499,9.2737
44,4,94.0421,2.92854
46,4,85.4911,-3.38781
48,4,76.8538,-9.66867
50,4,68.1392,-15.9076
52,4,59.3564,-22.0983
54,4,50.5149,-28.2347
56,4,41.6244,-34.3108
58,4,32.6951,-40.3211
60,4,23.7374,-46.26
62,4,14.7621,-52.1221
64,4,5.7801,-57.9023
66,4,-3.19722,-63.5957
68,4,-12.1584,-69.1975
70,4,-21.0915,-74.7031
72,4,-29.9848,-80.1081
74,4,-38.8259,-85.4081
76,4,-47.6024,-90.5991
78,4,-56.3019,-95.6772
80,4,-64.9118,-100.638
82,4,-73.4191,-105.479
84,4,-81.8111,-110.196
86,4,-90.0748,-114.785
88,4,-98.1973,-119.244
90,4,-106.166,-123.568
92,4,-113.967,-127.756
94,4,-121.588,-131.803
96,4,-129.017,-135.708
98,4,-136.24,-139.467
100,4,-143.245,-143.077
102,4,-150.02,-146.536
104,4,-156.552,-149.841
106,4,-162.83,-152.99
108,4,-168.842,-155.981
110,4,-174.577,-158.809
112,4,-180.024,-161.475
114,4,-185.172,-163.974
116,4,-190.011,-166.305
118,4,-194.532,-168.466
120,4,-198.724,-170.454
122,4,-202.58,-172.267
124,4,-206.09,-173.903
126,4,-209.248,-175.361
128,4,-212.046,-176.637
130,4,-214.477,-177.731
132,4,-216.536,-178.64
134,4,-218.218,-179.362
136,4,-219.517,-179.897
138,4,-220.429,-180.241
140,4,-220.953,-180.394
142,4,-221.084,-180.354
144,4,-220.821,-180.119
146,4,-220.164,-179.689
148,4,-219.112,-179.062
150,4,-217.665,-178.238
152,4,-215.824,-177.214
154,4,-213.592,-175.991
156,4,-210.972,-174.568
158,4,-207.966,-172.944
160,4,-204.579,-171.119
162,4,-200.817,-169.094
164,4,-196.684,-166.867
166,4,-192.188,-164.44
168,4,-187.335,-161.813
170,4,-182.133,-158.987
172,4,-176.592,-155.963
174,4,-170.72,-152.741
176,4,-164.527,-149.325
178,4,-158.024,-145.714
180,4,-151.222,-141.913
-180,6,-126.636,-145.074
-178,6,-119.095,-141.322
-176,6,-111.259,-137.37
-174,6,-103.142,-133.22
-172,6,-94.76,-128.876
-170,6,-86.1289,-124.338
-168,6,-77.2655,-119.61
-166,6,-68.1869,-114.695
-164,6,-58.9105,-109.596
-162,6,-49.4542,-104.319
-160,6,-39.8359,-98.8662
-158,6,-30.074,-93.2439
-156,6,-20.187,-87.4572
-154,6,-10.1933,-81.5118
-152,6,-0.111782,-75.4142
-150,6,10.0391,-69.1709
-148,6,20.2407,-62.7892
-146,6,30.4746,-56.2766
-144,6,40.7225,-49.6412
-142,6,50.9663,-42.8914
-140,6,61.1882,-36.0361
-138,6,71.3707,-29.0844
-136,6,81.4968,-22.0461
-134,6,91.5496,-14.9309
-132,6,101.513,-7.74936
-130,6,111.371,-0.51194
-128,6,121.11,6.7704
-126,6,130.713,14.0865
-124,6,140.167,21.4248
-122,6,149.46,28.7739
-120,6,158.577,36.1217
-118,6,167.508,43.4564
-116,6,176.242,50.7658
-114,6,184.767,58.0377
-112,6,193.074,65.2598
-110,6,201.154,72.4197
-108,6,208.999,79.5052
-106,6,216.603,86.5039
-104,6,223.957,93.4037
-102,6,231.057,100.192
-100,6,237.897,106.858
-98,6,244.473,113.389
-96,6,250.781,119.773
-94,6,256.82,126
-92,6,262.586,132.058
-90,6,268.078,137.936
-88,6,273.295,143.623
-86,6,278.237,149.111
-84,6,282.905,154.389
-82,6,287.299,159.447
-80,6,291.421,164.277
-78,6,295.272,168.87
-76,6,298.855,173.219
-74,6,302.173,177.316
-72,6,305.228,181.154
-70,6,308.023,184.727
-68,6,310.563,188.029
-66,6,312.851,191.055
-64,6,314.891,193.799
-62,6,316.686,196.259
-60,6,318.242,198.43
-58,6,319.561,200.31
-56,6,320.649,201.896
-54,6,321.509,203.187
-52,6,322.146,204.181
-50,6,322.563,204.879
-48,6,322.764,205.28
-46,6,322.753,205.385
-44,6,322.533,205.195
-42,6,322.108,204.713
-40,6,321.481,203.94
-38,6,320.655,202.88
-36,6,319.632,201.536
-34,6,318.415,199.912
-32,6,317.005,198.014
-30,6,315.406,195.845
-28,6,313.618,193.412
-26,6,311.643,190.72
-24,6,309.482,187.777
-22,6,307.137,184.588
-20,6,304.607,181.161
-18,6,301.894,177.503
-16,6,298.997,173.623
-14,6,295.918,169.529
-12,6,292.656,165.229
-10,6,289.21,160.731
-8,6,285.582,156.046
-6,6,281.77,151.181
-4,6,277.775,146.147
-2,6,273.596,140.952
0,6,269.233,135.607
2,6,264.685,130.121
4,6,259.954,124.504
6,6,255.037,118.765
8,6,249.937,112.915
10,6,244.652,106.963
12,6,239.184,100.919
14,6,233.532,94.793
16,6,227.699,88.594
18,6,221.684,82.3317
20,6,215.49,76.0156
22,6,209.118,69.6548
24,6,202.571,63.2584
26,6,195.85,56.8353
28,6,188.96,50.3941
30,6,181.902,43.9433
32,6,174.68,37.4912
34,6,167.299,31.0456
36,6,159.763,24.6144
38,6,152.078,18.205
40,6,144.247,11.8246
42,6,136.278,5.48012
44,6,128.177,-0.82176
46,6,119.951,-7.07468
48,6,111.606,-13.2726
50,6,103.151,-19.4096
52,6,94.5936,-25.4803
54,6,85.9431,-31.4794
56,6,77.2086,-37.4019
58,6,68.3996,-43.2432
60,6,59.5263,-48.9988
62,6,50.5993,-54.6645
64,6,41.6296,-60.2364
66,6,32.6287,-65.7109
68,6,23.6084,-71.0844
70,6,14.5808,-76.3536
72,6,5.55867,-81.5157
74,6,-3.44518,-86.5676
76,6,-12.4175,-91.5068
78,6,-21.3446,-96.3307
80,6,-30.2129,-101.037
82,6,-39.0082,-105.623
84,6,-47.7162,-110.088
86,6,-56.3225,-114.428
88,6,-64.8125,-118.643
90,6,-73.1716,-122.729
92,6,-81.3848,-126.687
94,6,-89.4373,-130.513
96,6,-97.3144,-134.206
98,6,-105.001,-137.765
100,6,-112.483,-141.188
102,6,-119.745,-144.474
104,6,-126.773,-147.62
106,6,-133.553,-150.625
108,6,-140.07,-153.487
110,6,-146.311,-156.206
112,6,-152.262,-158.778
114,6,-157.911,-161.203
116,6,-163.245,-163.478
118,6,-168.251,-165.602
120,6,-172.918,-167.573
122,6,-177.235,-169.388
124,6,-181.191,-171.046
126,6,-184.776,-172.545
128,6,-187.981,-173.883
130,6,-190.797,-175.057
132,6,-193.216,-176.066
134,6,-195.231,-176.906
136,6,-196.837,-177.576
138,6,-198.026,-178.074
140,6,-198.795,-178.397
142,6,-199.14,-178.543
144,6,-199.057,-178.51
146,6,-198.545,-178.294
148,6,-197.602,-177.895
150,6,-196.229,-177.311
152,6,-194.425,-176.537
154,6,-192.193,-175.574
156,6,-189.535,-174.419
158,6,-186.455,-173.07
160,6,-182.957,-171.525
162,6,-179.046,-169.783
164,6,-174.729,-167.842
166,6,-170.014,-165.702
168,6,-164.908,-163.361
170,6,-159.421,-160.818
172,6,-153.562,-158.074
174,6,-147.342,-155.127
176,6,-140.773,-151.978
178,6,-133.866,-148.627
180,6,-126.636,-145.074
-180,8,-102.068,-148.93
-178,8,-94.0985,-145.392
-176,8,-85.8126,-141.641
-174,8,-77.2277,-137.679
-172,8,-68.3616,-133.505
-170,8,-59.2331,-129.122
-168,8,-49.8614,-124.531
-166,8,-40.2662,-119.734
-164,8,-30.4677,-114.733
-162,8,-20.4865,-109.533
-160,8,-10.3435,-104.136
-158,8,-0.0598564,-98.5468
-156,8,10.343,-92.7704
-154,8,20.8438,-86.812
-152,8,31.4208,-80.6775
-150,8,42.0526,-74.3734
-148,8,52.7178,-67.9068
-146,8,63.3953,-61.2852
-144,8,74.064,-54.5168
-142,8,84.7033,-47.6103
-140,8,95.2929,-40.5748
-138,8,105.813,-33.4202
-136,8,116.244,-26.1567
-134,8,126.567,-18.7949
-132,8,136.765,-11.346
-130,8,146.819,-3.82157
-128,8,156.714,3.76634
-126,8,166.432,11.4054
-124,8,175.96,19.0829
-122,8,185.282,26.7859
-120,8,194.386,34.501
-118,8,203.259,42.2148
-116,8,211.89,49.9136
-114,8,220.268,57.5835
-112,8,228.384,65.2104
-110,8,236.229,72.7805
-108,8,243.797,80.2796
-106,8,251.081,87.6937
-104,8,258.075,95.0088
-102,8,264.776,102.211
-100,8,271.18,109.287
-98,8,277.284,116.222
-96,8,283.089,123.004
-94,8,288.592,129.619
-92,8,293.794,136.055
-90,8,298.698,142.299
-88,8,303.304,148.34
-86,8,307.616,154.166
-84,8,311.638,159.765
-82,8,315.372,165.127
-80,8,318.825,170.242
-78,8,322.002,175.101
-76,8,324.907,179.694
-74,8,327.548,184.014
-72,8,329.931,188.052
-70,8,332.062,191.801
-68,8,333.949,195.255
-66,8,335.599,198.409
-64,8,337.018,201.257
-62,8,338.214,203.794
-60,8,339.194,206.018
