Phi[deg],Theta[deg],re(rETheta)[mV],im(rETheta)[mV]
-180,0,151.512,312.657
-178,0,151.281,312.409
-176,0,150.866,311.78
-174,0,150.268,310.771
-172,0,149.486,309.383
-170,0,148.522,307.618
-168,0,147.377,305.479
-166,0,146.052,302.967
-164,0,144.549,300.086
-162,0,142.871,296.84
-160,0,141.018,293.232
-158,0,138.994,289.267
-156,0,136.8,284.949
-154,0,134.439,280.284
-152,0,131.915,275.278
-150,0,129.23,269.936
-148,0,126.388,264.266
-146,0,123.391,258.273
-144,0,120.244,251.966
-142,0,116.951,245.352
-140,0,113.515,238.438
-138,0,109.941,231.235
-136,0,106.233,223.749
-134,0,102.396,215.991
-132,0,98.4336,207.97
-130,0,94.3514,199.696
-128,0,90.1544,191.178
-126,0,85.8475,182.427
-124,0,81.4359,173.454
-122,0,76.9252,164.27
-120,0,72.3208,154.886
-118,0,67.6282,145.313
-116,0,62.8533,135.562
-114,0,58.0017,125.647
-112,0,53.0796,115.579
-110,0,48.0927,105.369
-108,0,43.0472,95.0317
-106,0,37.9493,84.5783
-104,0,32.8052,74.0219
-102,0,27.6211,63.3753
-100,0,22.4033,52.6514
-98,0,17.1583,41.8634
-96,0,11.8923,31.0244
-94,0,6.61188,20.1476
-92,0,1.32338,9.2463
-90,0,-3.96674,-1.6663
-88,0,-9.25202,-12.5769
-86,0,-14.526,-23.4721
-84,0,-19.7823,-34.3388
-82,0,-25.0145,-45.1636
-80,0,-30.2163,-55.9334
-78,0,-35.3812,-66.635
-76,0,-40.503,-77.2555
-74,0,-45.5755,-87.7818
-72,0,-50.5924,-98.2012
-70,0,-55.5477,-108.501
-68,0,-60.4353,-118.669
-66,0,-65.2493,-128.691
-64,0,-69.9838,-138.558
-62,0,-74.6331,-148.255
-60,0,-79.1914,-157.772
-58,0,-83.6532,-167.096
-56,0,-88.0131,-176.217
-54,0,-92.2658,-185.124
-52,0,-96.406,-193.804
-50,0,-100.429,-202.249
-48,0,-104.329,-210.447
-46,0,-108.103,-218.389
-44,0,-111.744,-226.064
-42,0,-115.25,-233.465
-40,0,-118.615,-240.581
-38,0,-121.835,-247.403
-36,0,-124.907,-253.925
-34,0,-127.827,-260.137
-32,0,-130.592,-266.032
-30,0,-133.197,-271.602
-28,0,-135.64,-276.842
-26,0,-137.917,-281.745
-24,0,-140.027,-286.305
-22,0,-141.966,-290.515
-20,0,-143.732,-294.372
-18,0,-145.322,-297.87
-16,0,-146.736,-301.005
-14,0,-147.971,-303.773
-12,0,-149.026,-306.172
-10,0,-149.899,-308.197
-8,0,-150.59,-309.847
-6,0,-151.097,-311.119
-4,0,-151.42,-312.012
-2,0,-151.558,-312.525
0,0,-151.512,-312.657
2,0,-151.281,-312.409
4,0,-150.866,-311.78
6,0,-150.268,-310.771
8,0,-149.486,-309.383
10,0,-148.522,-307.618
12,0,-147.377,-305.479
14,0,-146.052,-302.967
16,0,-144.549,-300.086
18,0,-142.871,-296.84
20,0,-141.018,-293.232
22,0,-138.994,-289.267
24,0,-136.8,-284.949
26,0,-134.439,-280.284
28,0,-131.915,-275.278
30,0,-129.23,-269.936
32,0,-126.388,-264.266
34,0,-123.391,-258.273
36,0,-120.244,-251.966
38,0,-116.951,-245.352
40,0,-113.515,-238.438
42,0,-109.941,-231.235
44,0,-106.233,-223.749
46,0,-102.396,-215.991
48,0,-98.4336,-207.97
50,0,-94.3514,-199.696
52,0,-90.1544,-191.178
54,0,-85.8475,-182.427
56,0,-81.4359,-173.454
58,0,-76.9252,-164.27
60,0,-72.3208,-154.886
62,0,-67.6282,-145.313
64,0,-62.8533,-135.562
66,0,-58.0017,-125.647
68,0,-53.0796,-115.579
70,0,-48.0927,-105.369
72,0,-43.0472,-95.0317
74,0,-37.9493,-84.5783
76,0,-32.8052,-74.0219
78,0,-27.6211,-63.3753
80,0,-22.4033,-52.6514
82,0,-17.1583,-41.8634
84,0,-11.8923,-31.0244
86,0,-6.61188,-20.1476
88,0,-1.32338,-9.2463
90,0,3.96674,1.6663
92,0,9.25202,12.5769
94,0,14.526,23.4721
96,0,19.7823,34.3388
98,0,25.0145,45.1636
100,0,30.2163,55.9334
102,0,35.3812,66.635
104,0,40.503,77.2555
106,0,45.5755,87.7818
108,0,50.5924,98.2012
110,0,55.5477,108.501
112,0,60.4353,118.669
114,0,65.2493,128.691
116,0,69.9838,138.558
118,0,74.6331,148.255
120,0,79.1914,157.772
122,0,83.6532,167.096
124,0,88.0131,176.217
126,0,92.2658,185.124
128,0,96.406,193.804
130,0,100.429,202.249
132,0,104.329,210.447
134,0,108.103,218.389
136,0,111.744,226.064
138,0,115.25,233.465
140,0,118.615,240.581
142,0,121.835,247.403
144,0,124.907,253.925
146,0,127.827,260.137
148,0,130.592,266.032
150,0,133.197,271.602
152,0,135.64,276.842
154,0,137.917,281.745
156,0,140.027,286.305
158,0,141.966,290.515
160,0,143.732,294.372
162,0,145.322,297.87
164,0,146.736,301.005
166,0,147.971,303.773
168,0,149.026,306.172
170,0,149.899,308.197
172,0,150.59,309.847
174,0,151.097,311.119
176,0,151.42,312.012
178,0,151.558,312.525
180,0,151.512,312.657
-180,2,168.287,311.791
-178,2,168.053,311.553
-176,2,167.653,310.956
-174,2,167.087,309.998
-172,2,166.355,308.682
-170,2,165.46,307.008
-168,2,164.4,304.979
-166,2,163.178,302.596
-164,2,161.795,299.862
-162,2,160.251,296.78
-160,2,158.549,293.352
-158,2,156.69,289.583
-156,2,154.675,285.475
-154,2,152.507,281.034
-152,2,150.187,276.264
-150,2,147.718,271.17
-148,2,145.102,265.756
-146,2,142.342,260.03
-144,2,139.439,253.996
-142,2,136.397,247.661
-140,2,133.219,241.032
-138,2,129.907,234.116
-136,2,126.465,226.919
-134,2,122.896,219.451
-132,2,119.204,211.718
-130,2,115.392,203.729
-128,2,111.463,195.493
-126,2,107.422,187.019
-124,2,103.273,178.316
