Phi[deg],Theta[deg],re(rETheta)[mV],im(rETheta)[mV]
-180,0,123.8,240.3
-178,0,113.476,231.775
-176,0,103.014,222.968
-174,0,92.427,213.89
-172,0,81.7271,204.551
-170,0,70.9277,194.963
-168,0,60.0418,185.137
-166,0,49.0828,175.085
-164,0,38.064,164.821
-162,0,26.9988,154.355
-160,0,15.9007,143.702
-158,0,4.78323,132.873
-156,0,-6.34005,121.882
-154,0,-17.4556,110.743
-152,0,-28.5499,99.4693
-150,0,-39.6094,88.0742
-148,0,-50.6207,76.5717
-146,0,-61.5703,64.976
-144,0,-72.4448,53.3011
-142,0,-83.2311,41.5612
-140,0,-93.916,29.7707
-138,0,-104.487,17.944
-136,0,-114.93,6.09538
-134,0,-125.233,-5.76066
-132,0,-135.383,-17.6097
-130,0,-145.369,-29.4372
-128,0,-155.178,-41.229
-126,0,-164.797,-52.9704
-124,0,-174.216,-64.6474
-122,0,-183.422,-76.2455
-120,0,-192.405,-87.7508
-118,0,-201.154,-99.1492
-116,0,-209.657,-110.427
-114,0,-217.905,-121.57
-112,0,-225.888,-132.565
-110,0,-233.595,-143.398
-108,0,-241.018,-154.057
-106,0,-248.147,-164.528
-104,0,-254.974,-174.798
-102,0,-261.49,-184.856
-100,0,-267.687,-194.688
-98,0,-273.559,-204.283
-96,0,-279.097,-213.63
-94,0,-284.295,-222.716
-92,0,-289.147,-231.53
-90,0,-293.646,-240.063
-88,0,-297.788,-248.303
-86,0,-301.566,-256.241
-84,0,-304.978,-263.866
-82,0,-308.018,-271.17
-80,0,-310.682,-278.144
-78,0,-312.968,-284.778
-76,0,-314.873,-291.066
-74,0,-316.394,-296.999
-72,0,-317.53,-302.57
-70,0,-318.279,-307.773
-68,0,-318.64,-312.6
-66,0,-318.613,-317.047
-64,0,-318.197,-321.108
-62,0,-317.394,-324.777
-60,0,-316.205,-328.051
-58,0,-314.63,-330.924
-56,0,-312.671,-333.395
-54,0,-310.332,-335.46
-52,0,-307.615,-337.116
-50,0,-304.523,-338.361
-48,0,-301.06,-339.194
-46,0,-297.23,-339.613
-44,0,-293.038,-339.619
-42,0,-288.489,-339.211
-40,0,-283.588,-338.39
-38,0,-278.342,-337.156
-36,0,-272.757,-335.512
-34,0,-266.839,-333.459
-32,0,-260.597,-331
-30,0,-254.037,-328.137
-28,0,-247.167,-324.875
-26,0,-239.996,-321.217
-24,0,-232.533,-317.167
-22,0,-224.787,-312.731
-20,0,-216.766,-307.914
-18,0,-208.482,-302.722
-16,0,-199.944,-297.161
-14,0,-191.162,-291.238
-12,0,-182.147,-284.961
-10,0,-172.91,-278.336
-8,0,-163.462,-271.371
-6,0,-153.816,-264.077
-4,0,-143.982,-256.46
-2,0,-133.972,-248.531
0,0,-123.8,-240.3
2,0,-113.476,-231.775
4,0,-103.014,-222.968
6,0,-92.427,-213.89
8,0,-81.7271,-204.551
