Phi[deg],Theta[deg],re(rETheta)[mV],im(rETheta)[mV]
-180,0,100.875,209.234
-178,0,110.255,216.687
-176,0,119.501,223.876
-174,0,128.602,230.792
-172,0,137.545,237.427
-170,0,146.322,243.772
-168,0,154.919,249.821
-166,0,163.329,255.565
-164,0,171.539,260.998
-162,0,179.54,266.113
-160,0,187.322,270.904
-158,0,194.876,275.364
-156,0,202.193,279.489
-154,0,209.264,283.274
-152,0,216.079,286.714
-150,0,222.631,289.804
-148,0,228.912,292.541
-146,0,234.914,294.922
-144,0,240.63,296.943
-142,0,246.053,298.603
-140,0,251.176,299.898
-138,0,255.993,300.829
-136,0,260.498,301.393
-134,0,264.685,301.589
-132,0,268.55,301.419
-130,0,272.088,300.881
-128,0,275.295,299.976
-126,0,278.166,298.706
-124,0,280.698,297.072
-122,0,282.888,295.076
-120,0,284.734,292.721
-118,0,286.232,290.009
-116,0,287.382,286.944
-114,0,288.182,283.529
-112,0,288.63,279.768
-110,0,288.727,275.667
-108,0,288.473,271.23
-106,0,287.866,266.462
-104,0,286.909,261.37
-102,0,285.603,255.96
-100,0,283.948,250.237
-98,0,281.948,244.21
-96,0,279.604,237.885
-94,0,276.92,231.27
-92,0,273.898,224.374
-90,0,270.542,217.204
-88,0,266.857,209.769
-86,0,262.846,202.079
-84,0,258.516,194.143
-82,0,253.87,185.97
-80,0,248.915,177.571
-78,0,243.657,168.955
-76,0,238.102,160.134
-74,0,232.257,151.117
-72,0,226.129,141.916
-70,0,219.725,132.543
-68,0,213.054,123.008
-66,0,206.123,113.323
-64,0,198.941,103.499
-62,0,191.516,93.5503
-60,0,183.859,83.4872
-58,0,175.977,73.3223
-56,0,167.881,63.0681
-54,0,159.58,52.7371
-52,0,151.085,42.3418
-50,0,142.406,31.8949
-48,0,133.553,21.4092
-46,0,124.538,10.8974
-44,0,115.371,0.372278
-42,0,106.063,-10.1533
-40,0,96.6262,-20.6664
-38,0,87.0716,-31.1544
-36,0,77.4109,-41.6045
-34,0,67.6559,-52.0038
-32,0,57.8185,-62.3398
-30,0,47.9106,-72.5999
-28,0,37.9444,-82.7715
-26,0,27.9319,-92.8422
-24,0,17.8854,-102.8
-22,0,7.81709,-112.632
-20,0,-2.26073,-122.327
-18,0,-12.3358,-131.874
-16,0,-22.3958,-141.259
-14,0,-32.4286,-150.472
-12,0,-42.4218,-159.502
-10,0,-52.3634,-168.338
-8,0,-62.2412,-176.969
-6,0,-72.0431,-185.384
-4,0,-81.7572,-193.573
-2,0,-91.3718,-201.526
0,0,-100.875,-209.234
2,0,-110.255,-216.687
4,0,-119.501,-223.876
6,0,-128.602,-230.792
8,0,-137.545,-237.427
10,0,-146.322,-243.772
12,0,-154.919,-249.821
14,0,-163.329,-255.565
16,0,-171.539,-260.998
18,0,-179.54,-266.113
20,0,-187.322,-270.904
22,0,-194.876,-275.364
24,0,-202.193,-279.489
26,0,-209.264,-283.274
28,0,-216.079,-286.714
30,0,-222.631,-289.804
32,0,-228.912,-292.541
34,0,-234.914,-294.922
36,0,-240.63,-296.943
38,0,-246.053,-298.603
40,0,-251.176,-299.898
42,0,-255.993,-300.829
44,0,-260.498,-301.393
46,0,-264.685,-301.589
48,0,-268.55,-301.419
50,0,-272.088,-300.881
52,0,-275.295,-299.976
54,0,-278.166,-298.706
56,0,-280.698,-297.072
58,0,-282.888,-295.076
60,0,-284.734,-292.721
62,0,-286.232,-290.009
64,0,-287.382,-286.944
66,0,-288.182,-283.529
68,0,-288.63,-279.768
70,0,-288.727,-275.667
72,0,-288.473,-271.23
74,0,-287.866,-266.462
76,0,-286.909,-261.37
78,0,-285.603,-255.96
80,0,-283.948,-250.237
82,0,-281.948,-244.21
84,0,-279.604,-237.885
86,0,-276.92,-231.27
88,0,-273.898,-224.374
90,0,-270.542,-217.204
92,0,-266.857,-209.769
94,0,-262.846,-202.079
96,0,-258.516,-194.143
98,0,-253.87,-185.97
100,0,-248.915,-177.571
102,0,-243.657,-168.955
104,0,-238.102,-160.134
106,0,-232.257,-151.117
108,0,-226.129,-141.916
110,0,-219.725,-132.543
112,0,-213.054,-123.008
114,0,-206.123,-113.323
116,0,-198.941,-103.499
118,0,-191.516,-93.5503
120,0,-183.859,-83.4872
122,0,-175.977,-73.3223
124,0,-167.881,-63.0681
126,0,-159.58,-52.7371
128,0,-151.085,-42.3418
130,0,-142.406,-31.8949
132,0,-133.553,-21.4092
134,0,-124.538,-10.8974
136,0,-115.371,-0.372278
138,0,-106.063,10.1533
140,0,-96.6262,20.6664
142,0,-87.0716,31.1544
144,0,-77.4109,41.6045
146,0,-67.6559,52.0038
148,0,-57.8185,62.3398
150,0,-47.9106,72.5999
152,0,-37.9444,82.7715
154,0,-27.9319,92.8422
156,0,-17.8854,102.8
158,0,-7.81709,112.632
160,0,2.26073,122.327
162,0,12.3358,131.874
164,0,22.3958,141.259
166,0,32.4286,150.472
168,0,42.4218,159.502
170,0,52.3634,168.338
172,0,62.2412,176.969
174,0,72.0431,185.384
176,0,81.7572,193.573
178,0,91.3718,201.526
180,0,100.875,209.234
-180,2,132.091,212.914
-178,2,141.135,220.587
-176,2,150.023,227.992
-174,2,158.748,235.117
-172,2,167.3,241.955
-170,2,175.67,248.495
-168,2,183.849,254.729
-166,2,191.829,260.65
-164,2,199.601,266.248
-162,2,207.159,271.518
-160,2,214.494,276.451
-158,2,221.599,281.041
-156,2,228.467,285.283
-154,2,235.091,289.17
-152,2,241.466,292.698
-150,2,247.584,295.862
-148,2,253.44,298.659
-146,2,259.029,301.084
-144,2,264.344,303.134
-142,2,269.382,304.807
-140,2,274.137,306.101
-138,2,278.604,307.015
-136,2,282.781,307.547
-134,2,286.662,307.697
-132,2,290.244,307.465
