"Freq [GHz]","Theta [deg]","Phi [deg]","dB(RealizedGainTotal) []"
0.9,90,-180,-21.7325736784719
0.9,90,-178,-21.7473543248684
0.9,90,-176,-21.7581951306361
0.9,90,-174,-21.7652196953629
0.9,90,-172,-21.7687457279331
0.9,90,-170,-21.7692611703276
0.9,90,-168,-21.7673901110661
0.9,90,-166,-21.7638510604094
0.9,90,-164,-21.759410534691
0.9,90,-162,-21.754834944025
0.9,90,-160,-21.7508435528336
0.9,90,-158,-21.7480648798198
0.9,90,-156,-21.7469984268079
0.9,90,-154,-21.7479831638325
0.9,90,-152,-21.7511738105752
0.9,90,-150,-21.756525664703
0.9,90,-148,-21.7637885235864
0.9,90,-146,-21.7725100866254
0.9,90,-144,-21.7820490523484
0.9,90,-142,-21.7915978736841
0.9,90,-140,-21.8002147519214
0.9,90,-138,-21.8068639059752
0.9,90,-136,-21.810462460741
0.9,90,-134,-21.8099315207328
0.9,90,-132,-21.8042482502368
0.9,90,-130,-21.7924952254702
0.9,90,-128,-21.7739031221679
0.9,90,-126,-21.7478830819344
0.9,90,-124,-21.7140459097359
0.9,90,-122,-21.6722065297126
0.9,90,-120,-21.6223736938097
0.9,90,-118,-21.5647265493484
0.9,90,-116,-21.4995810644318
0.9,90,-114,-21.4273502704316
0.9,90,-112,-21.3485026916173
0.9,90,-110,-21.2635231875714
0.9,90,-108,-21.1728798227567
0.9,90,-106,-21.0769994438238
0.9,90,-104,-20.9762535471713
0.9,90,-102,-20.8709548967231
0.9,90,-100,-20.7613643105496
0.9,90,-98,-20.6477061459667
0.9,90,-96,-20.5301903213379
0.9,90,-94,-20.4090382486386
0.9,90,-92,-20.2845098341161
0.9,90,-90,-20.1569287454011
0.9,90,-88,-20.0267034368521
0.9,90,-86,-19.8943419424716
0.9,90,-84,-19.760459132119
0.9,90,-82,-19.6257759023551
0.9,90,-80,-19.4911105446052
0.9,90,-78,-19.3573632088546
0.9,90,-76,-19.2254948878917
0.9,90,-74,-19.0965026434172
0.9,90,-72,-18.9713928754397
0.9,90,-70,-18.851154327115
0.9,90,-68,-18.7367322680627
0.9,90,-66,-18.6290049695373
0.9,90,-64,-18.5287632318277
0.9,90,-62,-18.4366933941848
0.9,90,-60,-18.3533639814949
0.9,90,-58,-18.279215935237
0.9,90,-56,-18.2145562411261
0.9,90,-54,-18.159554694803
0.9,90,-52,-18.1142435268298
0.9,90,-50,-18.0785196235033
0.9,90,-48,-18.0521491149896
0.9,90,-46,-18.0347741428893
0.9,90,-44,-18.02592165378
0.9,90,-42,-18.0250140845153
0.9,90,-40,-18.0313818030502
0.9,90,-38,-18.0442771424287
0.9,90,-36,-18.062889815775
0.9,90,-34,-18.0863634306155
0.9,90,-32,-18.113812739
0.9,90,-30,-18.1443411761247
0.9,90,-28,-18.1770581671316
0.9,90,-26,-18.2110956329159
0.9,90,-24,-18.2456231135074
0.9,90,-22,-18.2798609611189
0.9,90,-20,-18.3130911383697
0.9,90,-18,-18.3446652881172
0.9,90,-16,-18.3740099105586
0.9,90,-14,-18.4006286756053
0.9,90,-12,-18.4241020948087
0.9,90,-10,-18.4440849568995
0.9,90,-8,-18.4603020755623
0.9,90,-6,-18.4725429929515
0.9,90,-4,-18.4806563191078
0.9,90,-2,-18.4845443638223
0.9,90,0,-18.4841586376228
0.9,90,2,-18.4794966713185
0.9,90,4,-18.4706004412417
0.9,90,6,-18.4575565042252
0.9,90,8,-18.4404977575194
0.9,90,10,-18.4196065592172
0.9,90,12,-18.3951187884744
0.9,90,14,-18.3673283044777
0.9,90,16,-18.3365911889849
0.9,90,18,-18.30332913618
0.9,90,20,-18.2680313880198
0.9,90,22,-18.2312547004403
0.9,90,24,-18.1936209575906
0.9,90,26,-18.1558122146345
0.9,90,28,-18.1185631281461
0.9,90,30,-18.0826509089348
0.9,90,32,-18.0488830885799
0.9,90,34,-18.0180835147489
0.9,90,36,-17.9910770732495
0.9,90,38,-17.9686736742692
0.9,90,40,-17.9516520394491
0.9,90,42,-17.9407437928343
0.9,90,44,-17.936618302645
0.9,90,46,-17.93986865353
0.9,90,48,-17.9509990611361
0.9,90,50,-17.9704139811211
0.9,90,52,-17.998409119023
0.9,90,54,-18.0351645182907
0.9,90,56,-18.0807398905889
0.9,90,58,-18.135072351356
0.9,90,60,-18.1979767278048
0.9,90,62,-18.2691486070581
0.9,90,64,-18.3481702781493
0.9,90,66,-18.4345196817592
0.9,90,68,-18.5275824051071
0.9,90,70,-18.6266666382697
0.9,90,72,-18.7310208392081
0.9,90,74,-18.8398536421111
0.9,90,76,-18.9523553008701
0.9,90,78,-19.0677197104372
0.9,90,80,-19.1851658266352
0.9,90,82,-19.3039571487218
0.9,90,84,-19.4234178776538
0.9,90,86,-19.5429444479409
0.9,90,88,-19.6620113683602
0.9,90,90,-19.7801706918764
0.9,90,92,-19.8970449405409
0.9,90,94,-20.012313890131
0.9,90,96,-20.1256962130252
0.9,90,98,-20.2369275251315
0.9,90,100,-20.3457368291936
0.9,90,102,-20.451823650669
0.9,90,104,-20.5548382956561
0.9,90,106,-20.6543676061832
0.9,90,108,-20.7499283361626
0.9,90,110,-20.8409698144376
0.9,90,112,-20.9268868973133
0.9,90,114,-21.0070433517851
0.9,90,116,-21.0808047874583
0.9,90,118,-21.1475791438445
0.9,90,120,-21.2068616610786
0.9,90,122,-21.2582803778392
0.9,90,124,-21.3016376883426
0.9,90,126,-21.3369435027413
0.9,90,128,-21.3644361687904
0.9,90,130,-21.3845884899262
0.9,90,132,-21.3980977545731
0.9,90,134,-21.4058604167671
0.9,90,136,-21.4089336481214
0.9,90,138,-21.4084871646276
0.9,90,140,-21.405749367662
0.9,90,142,-21.4019519024431
0.9,90,144,-21.3982763192194
0.9,90,146,-21.3958057863479
0.9,90,148,-21.3954839358007
0.9,90,150,-21.3980820834739
0.9,90,152,-21.4041753719609
0.9,90,154,-21.4141278868841
0.9,90,156,-21.4280865019678
0.9,90,158,-21.4459830769359
0.9,90,160,-21.4675446072591
0.9,90,162,-21.492310937924
0.9,90,164,-21.5196596388394
0.9,90,166,-21.548837542229
0.9,90,168,-21.5789982260964
0.9,90,170,-21.6092443823328
0.9,90,172,-21.638673554943
0.9,90,174,-21.6664252293867
0.9,90,176,-21.6917267851599
0.9,90,178,-21.7139354959929
0.9,90,180,-21.7325736784719
2.4,90,-180,0.970790169148831
2.4,90,-178,0.974662666929195
2.4,90,-176,0.966745759676536
2.4,90,-174,0.946815485408946
2.4,90,-172,0.91417741787584
2.4,90,-170,0.867655131530896
2.4,90,-168,0.805588361735633
2.4,90,-166,0.725855566957348
2.4,90,-164,0.625938331989075
2.4,90,-162,0.503044632191488
2.4,90,-160,0.354304384490711
2.4,90,-158,0.177044589932943
2.4,90,-156,-0.0308565211833071
2.4,90,-154,-0.270546646838046
2.4,90,-152,-0.541731394992929
2.4,90,-150,-0.842204720112501
2.4,90,-148,-1.16745201235815
2.4,90,-146,-1.5104405168292
2.4,90,-144,-1.86174995857717
2.4,90,-142,-2.21020050080375
2.4,90,-140,-2.54405715539464
2.4,90,-138,-2.85269536757829
2.4,90,-136,-3.12834185374176
2.4,90,-134,-3.36730935198193
2.4,90,-132,-3.57021172939356
2.4,90,-130,-3.74102059231926
2.4,90,-128,-3.88530761145432
2.4,90,-126,-4.00831587252689
2.4,90,-124,-4.11348458225791
2.4,90,-122,-4.20180608891107
2.4,90,-120,-4.27209229589316
2.4,90,-118,-4.32197125738643
2.4,90,-116,-4.34925028373587
2.4,90,-114,-4.35318883723868
2.4,90,-112,-4.33526489427039
2.4,90,-110,-4.2992085511143
2.4,90,-108,-4.25034880347077
2.4,90,-106,-4.19454301145851
2.4,90,-104,-4.13703481651674
2.4,90,-102,-4.08151682682774
2.4,90,-100,-4.02953809782023
2.4,90,-98,-3.98027642075603
2.4,90,-96,-3.93063133259339
2.4,90,-94,-3.87558159289189
2.4,90,-92,-3.80876516086428
2.4,90,-90,-3.72325200542598
2.4,90,-88,-3.61246854295255
2.4,90,-86,-3.47118893444825
2.4,90,-84,-3.29644635172065
2.4,90,-82,-3.08817338018458
2.4,90,-80,-2.8493982757724
2.4,90,-78,-2.58591966012235
2.4,90,-76,-2.30552386063899
2.4,90,-74,-2.0169302729105
2.4,90,-72,-1.72869753051432
2.4,90,-70,-1.44829119223721
2.4,90,-68,-1.18143755055488
2.4,90,-66,-0.931811197762002
2.4,90,-64,-0.7010498337286
2.4,90,-62,-0.489057793954432
2.4,90,-60,-0.294536115508461
2.4,90,-58,-0.115649474382646
2.4,90,-56,0.0492910945585827
2.4,90,-54,0.201272054996464
2.4,90,-52,0.340281011503538
2.4,90,-50,0.465352552576323
2.4,90,-48,0.574956101690516
2.4,90,-46,0.667639211006829
2.4,90,-44,0.742778403757041
2.4,90,-42,0.801265495191967
2.4,90,-40,0.845963544393486
2.4,90,-38,0.881791480188553
2.4,90,-36,0.915340021700231
2.4,90,-34,0.953999531960143
2.4,90,-32,1.00470726554281
2.4,90,-30,1.07257793178075
2.4,90,-28,1.15979565188031
2.4,90,-26,1.26512403262202
2.4,90,-24,1.38420079260086
2.4,90,-22,1.51050654197409
2.4,90,-20,1.63668419163565
2.4,90,-18,1.75583575501566
2.4,90,-16,1.86251984746704
2.4,90,-14,1.95332398223669
2.4,90,-12,2.0270084163528
2.4,90,-10,2.08428398232998
2.4,90,-8,2.12730979962247
2.4,90,-6,2.15900595164857
2.4,90,-4,2.18228932314658
2.4,90,-2,2.19935767275855
2.4,90,0,2.21115279627437
2.4,90,2,2.21711105135852
2.4,90,4,2.21525374455748
2.4,90,6,2.20259571649972
2.4,90,8,2.17578474250956
2.4,90,10,2.13184859352205
2.4,90,12,2.06892388291188
2.4,90,14,1.98685705605559
2.4,90,16,1.88758440433161
2.4,90,18,1.77520573520591
2.4,90,20,1.65567386156844
2.4,90,22,1.5360542366458
2.4,90,24,1.42339336969434
2.4,90,26,1.32337420401833
2.4,90,28,1.23908249535871
2.4,90,30,1.17026524643385
2.4,90,32,1.11335298179808
2.4,90,34,1.06226464846131
2.4,90,36,1.00974733186983
2.4,90,38,0.94886223295746
2.4,90,40,0.874254608245468
2.4,90,42,0.78297345762211
2.4,90,44,0.674744024048311
2.4,90,46,0.551694585897015
2.4,90,48,0.417606634989944
