"Freq [GHz]","Theta [deg]","Phi [deg]","dB(RealizedGainTotal) []"
0.9,90,-180,-12.7572521901129
0.9,90,-178,-12.7597423098202
0.9,90,-176,-12.7639455918352
0.9,90,-174,-12.7699053671099
0.9,90,-172,-12.7776831587321
0.9,90,-170,-12.7873565208791
0.9,90,-168,-12.7990158074753
0.9,90,-166,-12.8127598900938
0.9,90,-164,-12.8286908626134
0.9,90,-162,-12.846907797862
0.9,90,-160,-12.8674996597352
0.9,90,-158,-12.8905375229301
0.9,90,-156,-12.9160663104333
0.9,90,-154,-12.9440963242048
0.9,90,-152,-12.9745949139991
0.9,90,-150,-13.0074786986682
0.9,90,-148,-13.0426068178742
0.9,90,-146,-13.0797757425557
0.9,90,-144,-13.1187162006431
0.9,90,-142,-13.1590927696582
0.9,90,-140,-13.2005066382111
0.9,90,-138,-13.2425019325027
0.9,90,-136,-13.2845758326381
0.9,90,-134,-13.3261924630704
0.9,90,-132,-13.366800236764
0.9,90,-130,-13.4058519805723
0.9,90,-128,-13.4428268004621
0.9,90,-126,-13.477252303233
0.9,90,-124,-13.5087255285681
0.9,90,-122,-13.5369308145761
0.9,90,-120,-13.561652864162
0.9,90,-118,-13.5827835200781
0.9,90,-116,-13.6003211854205
0.9,90,-114,-13.6143624042813
0.9,90,-112,-13.6250857790402
0.9,90,-110,-13.6327290677264
0.9,90,-108,-13.6375609008088
0.9,90,-106,-13.6398490227519
0.9,90,-104,-13.6398272673456
0.9,90,-102,-13.6376636128111
0.9,90,-100,-13.6334316503091
0.9,90,-98,-13.6270876651282
0.9,90,-96,-13.6184552981412
0.9,90,-94,-13.6072194375423
0.9,90,-92,-13.5929305811031
0.9,90,-90,-13.5750203860163
0.9,90,-88,-13.5528284615819
0.9,90,-86,-13.525639647406
0.9,90,-84,-13.4927300774201
0.9,90,-82,-13.4534193286856
0.9,90,-80,-13.4071250198884
0.9,90,-78,-13.353415526957
0.9,90,-76,-13.2920562009927
0.9,90,-74,-13.2230447450258
0.9,90,-72,-13.1466322773926
0.9,90,-70,-13.0633280018324
0.9,90,-68,-12.973887115288
0.9,90,-66,-12.8792833303964
0.9,90,-64,-12.7806688773634
0.9,90,-62,-12.6793258510471
0.9,90,-60,-12.5766131727799
0.9,90,-58,-12.4739132627499
0.9,90,-56,-12.3725818935751
0.9,90,-54,-12.273903802285
0.9,90,-52,-12.1790556644415
0.9,90,-50,-12.089077133817
0.9,90,-48,-12.0048499221491
0.9,90,-46,-11.9270843779944
0.9,90,-44,-11.8563127184958
0.9,90,-42,-11.7928879409045
0.9,90,-40,-11.7369874465841
0.9,90,-38,-11.6886205019603
0.9,90,-36,-11.6476387970685
0.9,90,-34,-11.6137495103983
0.9,90,-32,-11.5865304253684
0.9,90,-30,-11.5654467540928
0.9,90,-28,-11.5498694000316
0.9,90,-26,-11.5390944299266
0.9,90,-24,-11.532363528526
0.9,90,-22,-11.528885181747
0.9,90,-20,-11.5278562825587
0.9,90,-18,-11.5284837886281
0.9,90,-16,-11.5300059928061
