"Freq [GHz]","Theta [deg]","Phi [deg]","dB(RealizedGainTotal) []"
2.4,90,-180,-1.09491612520405
2.4,90,-178,-1.01026487092953
2.4,90,-176,-1.04391575521674
2.4,90,-174,-1.1969478017932
2.4,90,-172,-1.46147226907851
2.4,90,-170,-1.81748124245916
2.4,90,-168,-2.2275500809819
2.4,90,-166,-2.63156373425229
2.4,90,-164,-2.9479248586964
2.4,90,-162,-3.09131943456975
2.4,90,-160,-3.00855830009848
2.4,90,-158,-2.7092529885855
2.4,90,-156,-2.26098422471527
2.4,90,-154,-1.75416432950165
2.4,90,-152,-1.26936125384064
2.4,90,-150,-0.864245324732974
2.4,90,-148,-0.5748768857297
2.4,90,-146,-0.42160709873697
2.4,90,-144,-0.414391624012226
2.4,90,-142,-0.556093716388629
2.4,90,-140,-0.843818985218588
2.4,90,-138,-1.26859217017876
2.4,90,-136,-1.81366197904383
2.4,90,-134,-2.45190318064861
2.4,90,-132,-3.14354415602551
2.4,90,-130,-3.83689756284515
2.4,90,-128,-4.47584361673545
2.4,90,-126,-5.01537303669623
2.4,90,-124,-5.43859168225115
2.4,90,-122,-5.76226045628148
2.4,90,-120,-6.02452729926445
2.4,90,-118,-6.26261612879463
2.4,90,-116,-6.49250673856676
2.4,90,-114,-6.69651925847735
2.4,90,-112,-6.82136074261651
2.4,90,-110,-6.79245637859159
2.4,90,-108,-6.54842646101434
2.4,90,-106,-6.07951439130475
2.4,90,-104,-5.43684656684939
2.4,90,-102,-4.70444706032863
2.4,90,-100,-3.96332735531018
2.4,90,-98,-3.27272406431076
2.4,90,-96,-2.66841263833678
2.4,90,-94,-2.1681543552087
2.4,90,-92,-1.77759891434952
2.4,90,-90,-1.49444369204223
2.4,90,-88,-1.31078024676931
2.4,90,-86,-1.21414630342115
2.4,90,-84,-1.18786792292599
2.4,90,-82,-1.21128399294547
2.4,90,-80,-1.26049239478005
2.4,90,-78,-1.3102334730049
2.4,90,-76,-1.33719346154824
2.4,90,-74,-1.32421034945964
2.4,90,-72,-1.26389631776189
2.4,90,-70,-1.15989208306209
2.4,90,-68,-1.02493563907178
2.4,90,-66,-0.876563178821466
2.4,90,-64,-0.732225529172165
2.4,90,-62,-0.605328012059547
2.4,90,-60,-0.502808019514197
2.4,90,-58,-0.424200727165929
2.4,90,-56,-0.361996492276584
2.4,90,-54,-0.303247324807503
2.4,90,-52,-0.232460316663904
2.4,90,-50,-0.135531881316474
2.4,90,-48,-0.00383376875166989
2.4,90,-46,0.162972757039696
2.4,90,-44,0.356583372224138
2.4,90,-42,0.562244860983824
2.4,90,-40,0.762406249312791
2.4,90,-38,0.940364507136188
2.4,90,-36,1.08293223777242
2.4,90,-34,1.18189251356427
2.4,90,-32,1.23446920142286
2.4,90,-30,1.24313277082097
2.4,90,-28,1.21493707365632
2.4,90,-26,1.16041950938072
2.4,90,-24,1.09201536693387
2.4,90,-22,1.02200320503209
2.4,90,-20,0.960212226656865
2.4,90,-18,0.911979047913828
2.4,90,-16,0.876941151151575
2.4,90,-14,0.849045937973914
2.4,90,-12,0.817708670731848
2.4,90,-10,0.769648733344443
2.4,90,-8,0.690815933003334
2.4,90,-6,0.56799602513823
2.4,90,-4,0.389983058993914
2.4,90,-2,0.148455107114182
2.4,90,0,-0.161173781417311
2.4,90,2,-0.538613647241861
2.4,90,4,-0.977004988101121
2.4,90,6,-1.46060196283587
2.4,90,8,-1.96229803085191
2.4,90,10,-2.44256290920266
2.4,90,12,-2.85278896582666
2.4,90,14,-3.14604291974088
2.4,90,16,-3.29382499446667
2.4,90,18,-3.29973210088426
2.4,90,20,-3.199428990157
2.4,90,22,-3.04676193914237
2.4,90,24,-2.89640896015307
2.4,90,26,-2.79212320660908
2.4,90,28,-2.76186828947212
2.4,90,30,-2.81661931441587
2.4,90,32,-2.94964621471828
2.4,90,34,-3.13506300819926
2.4,90,36,-3.32702600573819
2.4,90,38,-3.46395868185919
2.4,90,40,-3.48328767385025
2.4,90,42,-3.34585764765788
2.4,90,44,-3.05590148197466
2.4,90,46,-2.65962251435878
2.4,90,48,-2.22399276258395
2.4,90,50,-1.81377751203575
2.4,90,52,-1.47934240979114
2.4,90,54,-1.25477562574893
2.4,90,56,-1.16074869824409
2.4,90,58,-1.20792300703663
2.4,90,60,-1.39901191361906
2.4,90,62,-1.72878173318409
2.4,90,64,-2.18152160090118
2.4,90,66,-2.72555547082709
2.4,90,68,-3.30532573493614
2.4,90,70,-3.83537723066018
2.4,90,72,-4.2079673687684
2.4,90,74,-4.32768378627193
2.4,90,76,-4.16173146083395
2.4,90,78,-3.75970032082859
2.4,90,80,-3.21994765111714
2.4,90,82,-2.6401790851381
2.4,90,84,-2.09131179046313
2.4,90,86,-1.61549980074405
2.4,90,88,-1.23360243880325
2.4,90,90,-0.952730307332167
2.4,90,92,-0.771179471109114
2.4,90,94,-0.680892198169639
2.4,90,96,-0.668213324819321
2.4,90,98,-0.713745956800195
2.4,90,100,-0.792196351531205
2.4,90,102,-0.873332266279661
2.4,90,104,-0.92525993250904
2.4,90,106,-0.920507776971693
2.4,90,108,-0.843497376147986
2.4,90,110,-0.695938315294231
2.4,90,112,-0.496887286599321
2.4,90,114,-0.277372982563966
2.4,90,116,-0.0727370164456154
2.4,90,118,0.0838116098161676
2.4,90,120,0.164936733628994
2.4,90,122,0.150688180095241
2.4,90,124,0.0290550367346126
2.4,90,126,-0.203234916141725
2.4,90,128,-0.538794296973
2.4,90,130,-0.956128349171893
2.4,90,132,-1.41530312138101
2.4,90,134,-1.85579194484012
2.4,90,136,-2.20306177024871
2.4,90,138,-2.39015302051821
2.4,90,140,-2.38820493060674
2.4,90,142,-2.22285935627578
2.4,90,144,-1.96049216378091
2.4,90,146,-1.67785472060876
2.4,90,148,-1.43895010459017
2.4,90,150,-1.28694100904341
2.4,90,152,-1.24530390271003
2.4,90,154,-1.32123238090845
2.4,90,156,-1.50770351679651
2.4,90,158,-1.78329529421051
2.4,90,160,-2.11049451850045
2.4,90,162,-2.43503701678655
