"Freq [GHz]","Theta [deg]","Phi [deg]","dB(RealizedGainTotal) []"
0.9,90,-180,-20.285854958353
0.9,90,-178,-20.2760170660655
0.9,90,-176,-20.2608715652727
0.9,90,-174,-20.2392451635955
0.9,90,-172,-20.2101086673818
0.9,90,-170,-20.1726536906296
0.9,90,-168,-20.1263579771759
0.9,90,-166,-20.0710333189478
0.9,90,-164,-20.0068514929342
0.9,90,-162,-19.9343458979727
0.9,90,-160,-19.8543892700435
0.9,90,-158,-19.768150482618
0.9,90,-156,-19.6770355043748
0.9,90,-154,-19.5826187536878
0.9,90,-152,-19.4865712557439
0.9,90,-150,-19.3905913017235
0.9,90,-148,-19.2963420138046
0.9,90,-146,-19.205398671134
0.9,90,-144,-19.1192071479375
0.9,90,-142,-19.0390535601496
0.9,90,-140,-18.9660443095179
0.9,90,-138,-18.9010951627631
0.9,90,-136,-18.8449277581486
0.9,90,-134,-18.7980719154744
0.9,90,-132,-18.7608722575249
0.9,90,-130,-18.7334978618765
0.9,90,-128,-18.715953899453
0.9,90,-126,-18.7080944456562
0.9,90,-124,-18.7096358516522
0.9,90,-122,-18.7201702291358
0.9,90,-120,-18.7391787309902
0.9,90,-118,-18.7660444067837
0.9,90,-116,-18.8000644825809
0.9,90,-114,-18.8404619666377
0.9,90,-112,-18.8863965236574
0.9,90,-110,-18.9369745971112
0.9,90,-108,-18.9912587971276
0.9,90,-106,-19.0482766144271
0.9,90,-104,-19.107028570601
0.9,90,-102,-19.1664959713551
0.9,90,-100,-19.2256484894204
0.9,90,-98,-19.2834518624457
0.9,90,-96,-19.3388760407205
0.9,90,-94,-19.3909041503704
0.9,90,-92,-19.4385426387599
0.9,90,-90,-19.4808329291249
0.9,90,-88,-19.5168648214649
0.9,90,-86,-19.5457917308189
0.9,90,-84,-19.5668476530215
0.9,90,-82,-19.5793655014862
0.9,90,-80,-19.5827961865142
0.9,90,-78,-19.5767275413998
0.9,90,-76,-19.5609019753409
0.9,90,-74,-19.5352315925643
0.9,90,-72,-19.4998094959052
0.9,90,-70,-19.4549161137422
0.9,90,-68,-19.4010196536624
0.9,90,-66,-19.3387701725271
0.9,90,-64,-19.2689872165759
0.9,90,-62,-19.192641467724
0.9,90,-60,-19.1108312703512
0.9,90,-58,-19.0247552521118
0.9,90,-56,-18.9356824564164
0.9,90,-54,-18.8449214606796
0.9,90,-52,-18.7537898738817
0.9,90,-50,-18.6635854182814
0.9,90,-48,-18.5755595422335
0.9,90,-46,-18.4908942248276
0.9,90,-44,-18.4106823542853
0.9,90,-42,-18.3359118173117
0.9,90,-40,-18.2674532417624
0.9,90,-38,-18.2060511958948
0.9,90,-36,-18.1523185620284
0.9,90,-34,-18.1067337631489
0.9,90,-32,-18.0696405174608
0.9,90,-30,-18.041249816785
0.9,90,-28,-18.0216438591513
0.9,90,-26,-18.0107817044126
0.9,90,-24,-18.0085064564537
0.9,90,-22,-18.0145538007999
0.9,90,-20,-18.0285617384548
0.9,90,-18,-18.0500813540028
0.9,90,-16,-18.0785884389707
0.9,90,-14,-18.1134957628517
0.9,90,-12,-18.1541657488032
