"Freq [GHz]","Theta [deg]","Phi [deg]","dB(RealizedGainTotal) []"
0.9,90,-180,-19.7132976402344
0.9,90,-178,-19.7549807065365
0.9,90,-176,-19.7990198629569
0.9,90,-174,-19.8455574467733
0.9,90,-172,-19.8946449281968
0.9,90,-170,-19.9462199806814
0.9,90,-168,-20.0000839937532
0.9,90,-166,-20.0558810793636
0.9,90,-164,-20.1130799209339
0.9,90,-162,-20.1709601423584
0.9,90,-160,-20.2286051954695
0.9,90,-158,-20.2849040166515
0.9,90,-156,-20.3385637958787
0.9,90,-154,-20.38813601956
0.9,90,-152,-20.4320573690987
0.9,90,-150,-20.4687059807667
0.9,90,-148,-20.4964719714195
0.9,90,-146,-20.5138391056518
0.9,90,-144,-20.5194722839285
0.9,90,-142,-20.5123035884839
0.9,90,-140,-20.4916084433531
0.9,90,-138,-20.4570634846503
0.9,90,-136,-20.4087792324356
0.9,90,-134,-20.3473034857581
0.9,90,-132,-20.2735950300091
0.9,90,-130,-20.1889709979284
0.9,90,-128,-20.0950342833161
0.9,90,-126,-19.9935892039027
0.9,90,-124,-19.8865539444407
0.9,90,-122,-19.7758773519079
0.9,90,-120,-19.6634658270201
0.9,90,-118,-19.5511238716588
0.9,90,-116,-19.4405097576024
0.9,90,-114,-19.333106074495
0.9,90,-112,-19.230203723297
0.9,90,-110,-19.13289723954
0.9,90,-108,-19.0420890702529
0.9,90,-106,-18.9585004686586
0.9,90,-104,-18.8826868941391
0.9,90,-102,-18.8150561163685
0.9,90,-100,-18.7558875553148
0.9,90,-98,-18.7053517028908
0.9,90,-96,-18.6635287479274
0.9,90,-94,-18.6304257584558
0.9,90,-92,-18.6059919667915
0.9,90,-90,-18.5901318601266
0.9,90,-88,-18.5827159095231
0.9,90,-86,-18.5835888796153
0.9,90,-84,-18.5925757544325
0.9,90,-82,-18.6094853941235
0.9,90,-80,-18.6341121039794
0.9,90,-78,-18.6662353509684
0.9,90,-76,-18.7056179035548
0.9,90,-74,-18.7520026975593
0.9,90,-72,-18.8051087445077
0.9,90,-70,-18.8646264004398
0.9,90,-68,-18.9302123045891
0.9,90,-66,-19.0014842816481
0.9,90,-64,-19.0780164821114
0.9,90,-62,-19.1593350164166
0.9,90,-60,-19.244914324183
0.9,90,-58,-19.3341745131687
0.9,90,-56,-19.4264799059294
0.9,90,-54,-19.5211390461508
0.9,90,-52,-19.617406439482
0.9,90,-50,-19.7144863306514
0.9,90,-48,-19.8115388415116
0.9,90,-46,-19.9076888017331
0.9,90,-44,-20.0020375805295
0.9,90,-42,-20.0936781579956
0.9,90,-40,-20.1817135435564
0.9,90,-38,-20.2652784467558
0.9,90,-36,-20.3435638316993
0.9,90,-34,-20.415843654081
0.9,90,-32,-20.4815027185519
0.9,90,-30,-20.5400642499563
0.9,90,-28,-20.5912155017925
0.9,90,-26,-20.6348295880702
0.9,90,-24,-20.6709817683003
0.9,90,-22,-20.699958662733
0.9,90,-20,-20.7222593145921
0.9,90,-18,-20.7385875992625
0.9,90,-16,-20.7498361283819
0.9,90,-14,-20.757062415927
0.9,90,-12,-20.7614585749256
0.9,90,-10,-20.7643161317438
0.9,90,-8,-20.766987649382
0.9,90,-6,-20.7708467489092
0.9,90,-4,-20.7772478478063
0.9,90,-2,-20.7874865544091
0.9,90,0,-20.8027612348895
0.9,90,2,-20.8241358659489
0.9,90,4,-20.8525039558664
0.9,90,6,-20.8885531014575
0.9,90,8,-20.9327296839041
0.9,90,10,-20.9852033244768
0.9,90,12,-21.0458310557763
0.9,90,14,-21.1141217523114
0.9,90,16,-21.1892022415122
0.9,90,18,-21.2697877018357
0.9,90,20,-21.3541604226945
0.9,90,22,-21.4401626361601
0.9,90,24,-21.5252106713104
0.9,90,26,-21.6063386699401
0.9,90,28,-21.680279872368
0.9,90,30,-21.743591255323
0.9,90,32,-21.7928224374337
0.9,90,34,-21.8247221706597
0.9,90,36,-21.8364663334257
0.9,90,38,-21.8258823094827
0.9,90,40,-21.7916390572807
0.9,90,42,-21.7333729522395
0.9,90,44,-21.6517278580514
0.9,90,46,-21.5483023670591
0.9,90,48,-21.4255137391066
0.9,90,50,-21.2864018396835
0.9,90,52,-21.134403631658
0.9,90,54,-20.973128457551
0.9,90,56,-20.8061580393779
0.9,90,58,-20.6368858436813
0.9,90,60,-20.4684012075612
0.9,90,62,-20.3034163893963
0.9,90,64,-20.144230242994
0.9,90,66,-19.992720310788
0.9,90,68,-19.8503551036926
0.9,90,70,-19.7182194089794
0.9,90,72,-19.597047007371
0.9,90,74,-19.4872567612429
0.9,90,76,-19.3889894247937
0.9,90,78,-19.3021436306678
0.9,90,80,-19.2264103159983
0.9,90,82,-19.1613053956595
0.9,90,84,-19.1062008174819
0.9,90,86,-19.0603542889384
0.9,90,88,-19.0229379872123
0.9,90,90,-18.9930664880168
0.9,90,92,-18.9698240019045
0.9,90,94,-18.9522908169468
0.9,90,96,-18.9395686405506
0.9,90,98,-18.9308043386729
0.9,90,100,-18.9252114157468
0.9,90,102,-18.9220884888335
0.9,90,104,-18.9208340044766
0.9,90,106,-18.9209565362948
0.9,90,108,-18.9220801826297
0.9,90,110,-18.9239448401012
0.9,90,112,-18.9264014323558
0.9,90,114,-18.9294024877647
0.9,90,116,-18.9329887479512
0.9,90,118,-18.937272718308
0.9,90,120,-18.942420219618
0.9,90,122,-18.9486310568746
0.9,90,124,-18.9561198906168
0.9,90,126,-18.9650982912274
0.9,90,128,-18.9757587978445
0.9,90,130,-18.9882616131831
0.9,90,132,-19.0027243643982
0.9,90,134,-19.0192151648267
0.9,90,136,-19.0377490334268
0.9,90,138,-19.0582875742907
0.9,90,140,-19.0807416898509
0.9,90,142,-19.1049769976794
0.9,90,144,-19.1308215400256
0.9,90,146,-19.1580753151588
0.9,90,148,-19.1865211183306
0.9,90,150,-19.2159361566798
0.9,90,152,-19.2461038962106
0.9,90,154,-19.2768256098957
0.9,90,156,-19.3079311235281
0.9,90,158,-19.3392882990043
0.9,90,160,-19.3708108510581
0.9,90,162,-19.4024641598341
0.9,90,164,-19.4342688139919
0.9,90,166,-19.4663016928063
0.9,90,168,-19.4986944667318
0.9,90,170,-19.5316294607097
0.9,90,172,-19.5653328810082
0.9,90,174,-19.6000654541517
0.9,90,176,-19.6361105668363
0.9,90,178,-19.6737600317128
0.9,90,180,-19.7132976402344
2.4,90,-180,-0.862518973226468
2.4,90,-178,-0.962272906324987
2.4,90,-176,-1.17543675999061
2.4,90,-174,-1.48135128616195
2.4,90,-172,-1.84603068270519
2.4,90,-170,-2.21923497846877
2.4,90,-168,-2.53633484702299
2.4,90,-166,-2.73081101172215
2.4,90,-164,-2.75797420565165
2.4,90,-162,-2.61686964768253
2.4,90,-160,-2.35163502978893
2.4,90,-158,-2.03085703739842
2.4,90,-156,-1.72272065662679
2.4,90,-154,-1.48044532975927
2.4,90,-152,-1.33856578305351
2.4,90,-150,-1.31414747948698
2.4,90,-148,-1.40806058776866
2.4,90,-146,-1.60408019224856
2.4,90,-144,-1.86575842359743
2.4,90,-142,-2.13366247886148
2.4,90,-140,-2.32955515682142
2.4,90,-138,-2.37588342057105
2.4,90,-136,-2.22878957942848
2.4,90,-134,-1.90200693845085
2.4,90,-132,-1.45843479446877
2.4,90,-130,-0.978125640783882
2.4,90,-128,-0.530457688287295
2.4,90,-126,-0.163195624479253
