"Freq [GHz]","Theta [deg]","Phi [deg]","dB(RealizedGainTotal) []"
0.9,90,-180,-20.4772179620393
0.9,90,-178,-20.4921847946681
0.9,90,-176,-20.5033096895414
0.9,90,-174,-20.5112614076739
0.9,90,-172,-20.5166637282036
0.9,90,-170,-20.5200483632795
0.9,90,-168,-20.521816079941
0.9,90,-166,-20.5222079445231
0.9,90,-164,-20.5212879681892
0.9,90,-162,-20.5189378824885
0.9,90,-160,-20.5148642908069
0.9,90,-158,-20.5086179735533
0.9,90,-156,-20.4996246113482
0.9,90,-154,-20.4872255860591
0.9,90,-152,-20.4707268160772
0.9,90,-150,-20.4494528240933
0.9,90,-148,-20.4228025230868
0.9,90,-146,-20.3903026823636
0.9,90,-144,-20.3516548550713
0.9,90,-142,-20.306771834061
0.9,90,-140,-20.2558004991342
0.9,90,-138,-20.1991291634656
0.9,90,-136,-20.1373790514423
0.9,90,-134,-20.0713811032177
0.9,90,-132,-20.0021406490626
0.9,90,-130,-19.9307934265517
0.9,90,-128,-19.8585568210144
0.9,90,-126,-19.7866801021467
0.9,90,-124,-19.7163969091516
0.9,90,-122,-19.6488824597564
0.9,90,-120,-19.5852170912619
0.9,90,-118,-19.5263569246889
0.9,90,-116,-19.4731117706104
0.9,90,-114,-19.4261299126062
0.9,90,-112,-19.3858891151859
0.9,90,-110,-19.3526930828867
0.9,90,-108,-19.3266726064778
0.9,90,-106,-19.3077907267374
0.9,90,-104,-19.2958513844498
0.9,90,-102,-19.2905111712364
0.9,90,-100,-19.2912939206813
0.9,90,-98,-19.2976079610158
0.9,90,-96,-19.308765874213
0.9,90,-94,-19.3240065635467
0.9,90,-92,-19.3425193220507
0.9,90,-90,-19.3634694263525
0.9,90,-88,-19.38602457231
0.9,90,-86,-19.4093812487538
0.9,90,-84,-19.4327899492376
0.9,90,-82,-19.455577988524
0.9,90,-80,-19.4771686573676
0.9,90,-78,-19.4970955426346
0.9,90,-76,-19.5150110693345
0.9,90,-74,-19.530688674608
0.9,90,-72,-19.5440184673406
0.9,90,-70,-19.5549967103443
0.9,90,-68,-19.5637099266669
0.9,90,-66,-19.5703148223595
0.9,90,-64,-19.5750154926868
0.9,90,-62,-19.5780395143889
0.9,90,-60,-19.579614521157
0.9,90,-58,-19.5799467288411
0.9,90,-56,-19.5792026486823
0.9,90,-54,-19.5774949334212
0.9,90,-52,-19.574872973422
0.9,90,-50,-19.5713185237446
0.9,90,-48,-19.5667463177133
0.9,90,-46,-19.5610093218581
0.9,90,-44,-19.5539080217909
0.9,90,-42,-19.5452029083929
0.9,90,-40,-19.5346291690865
0.9,90,-38,-19.5219124911397
0.9,90,-36,-19.5067848633469
0.9,90,-34,-19.4889993259497
0.9,90,-32,-19.4683427665139
0.9,90,-30,-19.4446460825355
0.9,90,-28,-19.4177913104366
0.9,90,-26,-19.3877156268879
0.9,90,-24,-19.3544124281237
0.9,90,-22,-19.3179299516401
0.9,90,-20,-19.2783680930396
0.9,90,-18,-19.2358741691346
0.9,90,-16,-19.1906383797139
0.9,90,-14,-19.1428896306166
0.9,90,-12,-19.0928922173896
0.9,90,-10,-19.0409436573153
0.9,90,-8,-18.9873737274512
0.9,90,-6,-18.9325445467795
0.9,90,-4,-18.8768513571067
0.9,90,-2,-18.8207235289555
0.9,90,0,-18.764625256244
0.9,90,2,-18.7090554092076
0.9,90,4,-18.6545460827754
0.9,90,6,-18.6016594946302
0.9,90,8,-18.5509830360286
0.9,90,10,-18.5031224397086
0.9,90,12,-18.4586931841731
0.9,90,14,-18.4183103867432
0.9,90,16,-18.3825775382459
0.9,90,18,-18.3520744948505
0.9,90,20,-18.3273451676075
0.9,90,22,-18.3088853423233
0.9,90,24,-18.2971310291666
0.9,90,26,-18.2924476918083
0.9,90,28,-18.2951206487566
0.9,90,30,-18.3053468823014
0.9,90,32,-18.3232284384872
0.9,90,34,-18.3487675577457
0.9,90,36,-18.3818636408299
0.9,90,38,-18.4223121270892
0.9,90,40,-18.4698053389573
0.9,90,42,-18.5239353239027
0.9,90,44,-18.5841986988528
0.9,90,46,-18.6500034684397
