"Freq [GHz]","Theta [deg]","Phi [deg]","ang_deg(rETheta) [deg]"
0.9,90,-180,-40.3299959109328
0.9,90,-178,-38.9037616848602
0.9,90,-176,-37.4134084953768
0.9,90,-174,-35.8624148867326
0.9,90,-172,-34.2545682532044
0.9,90,-170,-32.5939504686972
0.9,90,-168,-30.8849177606326
0.9,90,-166,-29.1320744721712
0.9,90,-164,-27.3402406118967
0.9,90,-162,-25.5144133831111
0.9,90,-160,-23.6597231978012
0.9,90,-158,-21.7813849910467
0.9,90,-156,-19.88464593592
0.9,90,-154,-17.9747308930183
0.9,90,-152,-16.0567870921041
0.9,90,-150,-14.1358296211492
0.9,90,-148,-12.2166892832986
0.9,90,-146,-10.3039642764803
0.9,90,-144,-8.40197696358171
0.9,90,-142,-6.51473675037089
0.9,90,-140,-4.64590979562957
0.9,90,-138,-2.7987959673834
0.9,90,-136,-0.976313154206714
0.9,90,-134,0.81901123810993
0.9,90,-132,2.58504201083576
0.9,90,-130,4.32003170807149
0.9,90,-128,6.0226106819007
0.9,90,-126,7.69177247582655
0.9,90,-124,9.32685533484211
0.9,90,-122,10.927520625955
0.9,90,-120,12.4937288937469
0.9,90,-118,14.025714191324
0.9,90,-116,15.5239572271762
0.9,90,-114,16.9891577613769
0.9,90,-112,18.4222065772605
0.9,90,-110,19.8241572528311
0.9,90,-108,21.1961978639037
0.9,90,-106,22.539622671446
0.9,90,-104,23.8558037808603
0.9,90,-102,25.1461627124841
0.9,90,-100,26.4121417913599
0.9,90,-98,27.6551752510751
0.9,90,-96,28.8766599517905
0.9,90,-94,30.0779256369623
0.9,90,-92,31.2602046970978
0.9,90,-90,32.4246014722829
0.9,90,-88,33.5720612077981
0.9,90,-86,34.7033388777714
0.9,90,-84,35.8189682082086
0.9,90,-82,36.9192313591096
0.9,90,-80,38.0041298600644
0.9,90,-78,39.0733575269574
0.9,90,-76,40.1262762092467
0.9,90,-74,41.1618953158168
0.9,90,-72,42.1788561293618
0.9,90,-70,43.1754219310197
0.9,90,-68,44.1494749060352
0.9,90,-66,45.0985206779651
0.9,90,-64,46.0197011185943
0.9,90,-62,46.9098158052081
0.9,90,-60,47.7653521561047
0.9,90,-58,48.5825238875955
0.9,90,-56,49.3573170274349
0.9,90,-54,50.0855423225612
0.9,90,-52,50.7628925277649
0.9,90,-50,51.385002789495
0.9,90,-48,51.9475121728617
0.9,90,-46,52.4461243379049
0.9,90,-44,52.8766654592881
0.9,90,-42,53.2351376947037
0.9,90,-40,53.5177668224434
0.9,90,-38,53.7210430594344
0.9,90,-36,53.8417545035819
0.9,90,-34,53.8770130831492
0.9,90,-32,53.824273308337
0.9,90,-30,53.6813444790932
0.9,90,-28,53.4463972889207
0.9,90,-26,53.1179659656977
0.9,90,-24,52.6949472035158
0.9,90,-22,52.1765971668528
0.9,90,-20,51.562527797054
0.9,90,-18,50.8527035308521
0.9,90,-16,50.0474393623213
0.9,90,-14,49.147400954056
0.9,90,-12,48.1536072406954
0.9,90,-10,47.067435677803
0.9,90,-8,45.8906299809952
0.9,90,-6,44.6253098841946
0.9,90,-4,43.2739821335964
0.9,90,-2,41.8395516394365
0.9,90,0,40.3253314479313
0.9,90,2,38.7350499906816
0.9,90,4,37.0728539402917
0.9,90,6,35.343304971067
0.9,90,8,33.5513688120327
0.9,90,10,31.7023951998445
0.9,90,12,29.8020876954208
0.9,90,14,27.8564628113481
0.9,90,16,25.8717984832315
0.9,90,18,23.8545725679448
0.9,90,20,21.8113927132756
0.9,90,22,19.7489195571931
0.9,90,24,17.6737857209359
0.9,90,26,15.5925134061464
0.9,90,28,13.5114335556825
0.9,90,30,11.4366094750412
0.9,90,32,9.37376754464024
0.9,90,34,7.32823721293582
0.9,90,36,5.30490189430171
0.9,90,38,3.30816176172826
0.9,90,40,1.34190878250933
0.9,90,42,-0.590486250806735
0.9,90,44,-2.48617544945597
0.9,90,46,-4.34282546445701
0.9,90,48,-6.15860044054853
0.9,90,50,-7.93213783743211
0.9,90,52,-9.66251869342292
0.9,90,54,-11.3492338397877
0.9,90,56,-12.9921474381652
0.9,90,58,-14.5914590322475
0.9,90,60,-16.1476650999855
0.9,90,62,-17.6615208820962
0.9,90,64,-19.1340030605523
0.9,90,66,-20.5662736768774
0.9,90,68,-21.9596455205895
0.9,90,70,-23.3155490861174
0.9,90,72,-24.6355010927695
0.9,90,74,-25.9210744860491
0.9,90,76,-27.1738697880018
0.9,90,78,-28.395487637049
0.9,90,80,-29.5875023514126
0.9,90,82,-30.7514363623347
0.9,90,84,-31.8887353914886
0.9,90,86,-33.0007442890615
0.9,90,88,-34.0886835027942
0.9,90,90,-35.153626211552
0.9,90,92,-36.1964762273334
0.9,90,94,-37.2179468441785
0.9,90,96,-38.218540887941
0.9,90,98,-39.1985322934516
0.9,90,100,-40.1579496008251
0.9,90,102,-41.0965618156106
0.9,90,104,-42.0138671130044
0.9,90,106,-42.9090848793023
0.9,90,108,-43.7811515696013
0.9,90,110,-44.6287208159228
0.9,90,112,-45.4501681425731
0.9,90,114,-46.2436005359986
0.9,90,116,-47.0068709775977
0.9,90,118,-47.737597885704
0.9,90,120,-48.4331892357761
0.9,90,122,-49.090870946541
0.9,90,124,-49.7077189467289
0.9,90,126,-50.2806941848476
