"Freq [GHz]","Theta [deg]","Phi [deg]","ang_deg(rETheta) [deg]"
0.9,90,-180,30.6025597799134
0.9,90,-178,32.7369581252299
0.9,90,-176,34.8276332985488
0.9,90,-174,36.8706205506274
0.9,90,-172,38.862120690174
0.9,90,-170,40.7985134593222
0.9,90,-168,42.6763693587452
0.9,90,-166,44.492459864048
0.9,90,-164,46.2437659890551
0.9,90,-162,47.9274851672821
0.9,90,-160,49.5410364400382
0.9,90,-158,51.0820639578348
0.9,90,-156,52.548438820463
0.9,90,-154,53.9382592995958
0.9,90,-152,55.2498495053856
0.9,90,-150,56.4817565746755
0.9,90,-148,57.6327464726413
0.9,90,-146,58.7017985116131
0.9,90,-144,59.6880987003257
0.9,90,-142,60.591032043911
0.9,90,-140,61.4101739197076
0.9,90,-138,62.145280656633
0.9,90,-136,62.796279446755
0.9,90,-134,63.3632577171207
0.9,90,-132,63.8464520881878
0.9,90,-130,64.2462370426554
0.9,90,-128,64.5631134253701
0.9,90,-126,64.7976968915035
0.9,90,-124,64.9507064165203
0.9,90,-122,65.02295297768
0.9,90,-120,65.0153285130138
0.9,90,-118,64.9287952599002
0.9,90,-116,64.7643755715246
0.9,90,-114,64.5231423056038
0.9,90,-112,64.2062098757352
0.9,90,-110,63.814726051497
0.9,90,-108,63.3498645888898
0.9,90,-106,62.8128187677315
0.9,90,-104,62.2047959070496
0.9,90,-102,61.5270129231574
0.9,90,-100,60.78069298774
0.9,90,-98,59.9670633346471
0.9,90,-96,59.0873542539051
0.9,90,-94,58.1427992994248
0.9,90,-92,57.1346367226782
0.9,90,-90,56.0641121279717
0.9,90,-88,54.9324823256392
0.9,90,-86,53.7410203373726
0.9,90,-84,52.4910214830262
0.9,90,-82,51.1838104507593
0.9,90,-80,49.820749222742
0.9,90,-78,48.4032456975338
0.9,90,-76,46.9327628186271
0.9,90,-74,45.4108279878083
0.9,90,-72,43.8390425135008
0.9,90,-70,42.2190908199052
0.9,90,-68,40.5527491245314
0.9,90,-66,38.8418932816101
0.9,90,-64,37.0885054888033
0.9,90,-62,35.2946795662211
0.9,90,-60,33.4626245411425
0.9,90,-58,31.5946663095271
0.9,90,-56,29.6932471960478
0.9,90,-54,27.7609232967014
0.9,90,-52,25.8003595597955
0.9,90,-50,23.8143226390948
0.9,90,-48,21.8056716331685
0.9,90,-46,19.7773469030464
0.9,90,-44,17.7323572315074
0.9,90,-42,15.6737656472588
0.9,90,-40,13.6046742820894
0.9,90,-38,11.5282086559514
0.9,90,-36,9.44750179228126
0.9,90,-34,7.36567855352312
0.9,90,-32,5.28584055608357
0.9,90,-30,3.21105197739451
0.9,90,-28,1.14432650904228
0.9,90,-26,-0.911384356616188
0.9,90,-24,-2.95320158867053
0.9,90,-22,-4.97832737944354
0.9,90,-20,-6.98405241965814
0.9,90,-18,-8.96776175525605
0.9,90,-16,-10.9269393376863
0.9,90,-14,-12.8591714108198
0.9,90,-12,-14.762148896503
0.9,90,-10,-16.6336689477354
0.9,90,-8,-18.471635834868
0.9,90,-6,-20.2740613178991
0.9,90,-4,-22.0390646390208
0.9,90,-2,-23.7648722462549
0.9,90,0,-25.4498173334506
0.9,90,2,-27.0923392560169
0.9,90,4,-28.6909828571304
0.9,90,6,-30.2443977170361
0.9,90,8,-31.7513373193068
0.9,90,10,-33.2106581130307
0.9,90,12,-34.6213184390254
0.9,90,14,-35.9823772812181
0.9,90,16,-37.2929928009522
0.9,90,18,-38.5524206117157
0.9,90,20,-39.7600117540543
0.9,90,22,-40.9152103346466
0.9,90,24,-42.0175507990743
0.9,90,26,-43.0666548141844
0.9,90,28,-44.0622277426472
0.9,90,30,-45.0040546989751
0.9,90,32,-45.8919961826375
0.9,90,34,-46.7259832897907
0.9,90,36,-47.5060125105019
0.9,90,38,-48.2321401231884
0.9,90,40,-48.9044762024392
0.9,90,42,-49.5231782606039
0.9,90,44,-50.0884445477284
0.9,90,46,-50.6005070388561
0.9,90,48,-51.0596241426148
0.9,90,50,-51.4660731706258
0.9,90,52,-51.820142613782
0.9,90,54,-52.1221242789731
0.9,90,56,-52.3723053484421
0.9,90,58,-52.5709604335712
0.9,90,60,-52.7183437053563
0.9,90,62,-52.8146811948325
0.9,90,64,-52.8601633678445
0.9,90,66,-52.8549380892568
0.9,90,68,-52.7991041013357
0.9,90,70,-52.6927051488663
0.9,90,72,-52.535724888839
0.9,90,74,-52.3280827244868
0.9,90,76,-52.0696307014024
0.9,90,78,-51.7601515968532
0.9,90,80,-51.3993583218806
0.9,90,82,-50.9868947392247
0.9,90,84,-50.5223379787252
0.9,90,86,-50.0052023061318
0.9,90,88,-49.4349445720286
0.9,90,90,-48.8109712359358
0.9,90,92,-48.1326469279308
0.9,90,94,-47.3993044777778
0.9,90,96,-46.610256311055
0.9,90,98,-45.7648070844905
0.9,90,100,-44.8622674098245
0.9,90,102,-43.9019684978202
0.9,90,104,-42.8832775419855
0.9,90,106,-41.8056136550894
0.9,90,108,-40.6684641702078
0.9,90,110,-39.4714011209308
0.9,90,112,-38.2140977213353
0.9,90,114,-36.8963446740303
0.9,90,116,-35.5180661426273
0.9,90,118,-34.0793352321185
0.9,90,120,-32.5803888258647
0.9,90,122,-31.0216416305888
0.9,90,124,-29.4036992807816
0.9,90,126,-27.7273703516104
0.9,90,128,-25.9936771255862
0.9,90,130,-24.2038649541572
0.9,90,132,-22.359410052568
0.9,90,134,-20.4620255664768
0.9,90,136,-18.5136657535947
0.9,90,138,-16.5165281344682
0.9,90,140,-14.4730534845029
0.9,90,142,-12.3859235649409
0.9,90,144,-10.2580565235806
0.9,90,146,-8.0925999357276
0.9,90,148,-5.89292150064479
0.9,90,150,-3.66259745652638
0.9,90,152,-1.4053988252637
0.9,90,154,0.874724355684288
0.9,90,156,3.17366061572598
0.9,90,158,5.48715621502607
0.9,90,160,7.81083563141207
0.9,90,162,10.1402230959003
0.9,90,164,12.4707648962313
0.9,90,166,14.7978521706982
0.9,90,168,17.1168439252217
0.9,90,170,19.4230900232679
0.9,90,172,21.7119539187634
0.9,90,174,23.9788349245805
0.9,90,176,26.2191898316306
0.9,90,178,28.4285537146893
0.9,90,180,30.6025597799134
2.4,90,-180,-153.861941837875
2.4,90,-178,-148.353608807064
2.4,90,-176,-143.044982239132
2.4,90,-174,-137.932878144298
2.4,90,-172,-133.015587229356
2.4,90,-170,-128.292873251939
2.4,90,-168,-123.765809226048
2.4,90,-166,-119.436483661856
2.4,90,-164,-115.307610101005
2.4,90,-162,-111.382075751092
2.4,90,-160,-107.662467049128
2.4,90,-158,-104.150609879463
2.4,90,-156,-100.847159051784
2.4,90,-154,-97.7512654633455
2.4,90,-152,-94.860340806628
2.4,90,-150,-92.1699298805664
2.4,90,-148,-89.6736908099701
2.4,90,-146,-87.3634749421541
2.4,90,-144,-85.2294917444597
2.4,90,-142,-83.2605401700652
2.4,90,-140,-81.444286810534
2.4,90,-138,-79.7675724827329
2.4,90,-136,-78.2167321852413
2.4,90,-134,-76.7779178722945
2.4,90,-132,-75.4374183843785
2.4,90,-130,-74.181975294118
2.4,90,-128,-72.9990966308163
2.4,90,-126,-71.8773718868236
2.4,90,-124,-70.806791081039
2.4,90,-122,-69.779067928174
2.4,90,-120,-68.7879625858403
2.4,90,-118,-67.8295935614715
2.4,90,-116,-66.902721989943
2.4,90,-114,-66.0089857597118
2.4,90,-112,-65.1530572069367
2.4,90,-110,-64.3426976887442
2.4,90,-108,-63.5886863888602
2.4,90,-106,-62.904609613854
