"Freq [GHz]","Theta [deg]","Phi [deg]","ang_deg(rETheta) [deg]"
0.9,90,-180,-43.9051182835817
0.9,90,-178,-45.0915238344373
0.9,90,-176,-46.2013485667987
0.9,90,-174,-47.2325442040472
0.9,90,-172,-48.1833934604865
0.9,90,-170,-49.052502572683
0.9,90,-168,-49.8387935985689
0.9,90,-166,-50.5414970436062
0.9,90,-164,-51.1601452077784
0.9,90,-162,-51.6945664766867
0.9,90,-160,-52.1448806114638
0.9,90,-158,-52.5114949312672
0.9,90,-156,-52.7951011337506
0.9,90,-154,-52.9966723676833
0.9,90,-152,-53.1174600622651
0.9,90,-150,-53.158989934179
0.9,90,-148,-53.123056540585
0.9,90,-146,-53.0117157284137
0.9,90,-144,-52.8272743511492
0.9,90,-142,-52.572276686249
0.9,90,-140,-52.2494870899552
0.9,90,-138,-51.8618685694942
0.9,90,-136,-51.4125571304653
0.9,90,-134,-50.9048319612421
0.9,90,-132,-50.3420817350353
0.9,90,-130,-49.7277675299981
0.9,90,-128,-49.0653830730902
0.9,90,-126,-48.3584131890432
0.9,90,-124,-47.6102914679455
0.9,90,-122,-46.8243582430359
0.9,90,-120,-46.0038199879754
0.9,90,-118,-45.1517111989668
0.9,90,-116,-44.2708597256991
0.9,90,-114,-43.363856365059
0.9,90,-112,-42.4330293454318
0.9,90,-110,-41.4804241220398
0.9,90,-108,-40.507788690589
0.9,90,-106,-39.5165644220993
0.9,90,-104,-38.5078822385458
0.9,90,-102,-37.4825637962002
0.9,90,-100,-36.4411272271844
0.9,90,-98,-35.3837969121777
0.9,90,-96,-34.3105167177963
0.9,90,-94,-33.2209661277823
0.9,90,-92,-32.1145787229551
0.9,90,-90,-30.9905625150173
0.9,90,-88,-29.8479217075668
0.9,90,-86,-28.6854795379526
0.9,90,-84,-27.5019019403631
0.9,90,-82,-26.2957218588745
0.9,90,-80,-25.0653641249814
0.9,90,-78,-23.8091708939632
0.9,90,-76,-22.5254277054362
0.9,90,-74,-21.2123902931221
0.9,90,-72,-19.8683123149394
0.9,90,-70,-18.4914742046942
0.9,90,-68,-17.0802133584934
0.9,90,-66,-15.6329558598461
0.9,90,-64,-14.1482499143966
0.9,90,-62,-12.6248011053382
0.9,90,-60,-11.0615094909594
0.9,90,-58,-9.45750844421888
0.9,90,-56,-7.81220497961481
0.9,90,-54,-6.12532112576838
0.9,90,-52,-4.39693568671081
0.9,90,-50,-2.62752549826372
0.9,90,-48,-0.8180050401045
0.9,90,-46,1.0302369737987
0.9,90,-44,2.91530561154627
0.9,90,-42,4.83477408301809
0.9,90,-40,6.78566624566366
0.9,90,-38,8.76444901199619
0.9,90,-36,10.7670362307241
0.9,90,-34,12.788805279365
0.9,90,-32,14.8246271220001
0.9,90,-30,16.8689099695657
0.9,90,-28,18.9156559689806
0.9,90,-26,20.9585295964011
0.9,90,-24,22.9909357067306
0.9,90,-22,25.0061045687182
0.9,90,-20,26.9971807599313
0.9,90,-18,28.9573125605848
0.9,90,-16,30.8797384979588
0.9,90,-14,32.757867953841
0.9,90,-12,34.58535322757
0.9,90,-10,36.3561510945655
0.9,90,-8,38.0645726469933
0.9,90,-6,39.7053209764245
0.9,90,-4,41.273516989596
0.9,90,-2,42.7647142818481
0.9,90,0,44.1749044900817
0.9,90,2,45.5005148886436
0.9,90,4,46.7384001752364
0.9,90,6,47.8858304314372
0.9,90,8,48.9404771545023
0.9,90,10,49.9003990692661
0.9,90,12,50.7640291671705
0.9,90,14,51.530164107725
0.9,90,16,52.1979567762271
0.9,90,18,52.7669124364864
0.9,90,20,53.2368885610454
0.9,90,22,53.6080980738773
0.9,90,24,53.8811154104708
0.9,90,26,54.0568844964999
0.9,90,28,54.1367274791796
0.9,90,30,54.1223528272279
0.9,90,32,54.015861260395
0.9,90,34,53.8197478933683
0.9,90,36,53.5368989967498
0.9,90,38,53.1705819022826
0.9,90,40,52.7244268176601
0.9,90,42,52.2023996668072
0.9,90,44,51.6087655225115
0.9,90,46,50.9480427258338
0.9,90,48,50.2249483555019
0.9,90,50,49.4443362762047
0.9,90,52,48.6111295084366
0.9,90,54,47.730249076651
0.9,90,56,46.8065417668764
0.9,90,58,45.8447093328506
0.9,90,60,44.8492416216449
0.9,90,62,43.82435585486
0.9,90,64,42.7739439262152
0.9,90,66,41.701529100356
0.9,90,68,40.6102329680691
0.9,90,70,39.5027529779677
0.9,90,72,38.381350367461
0.9,90,74,37.2478478905408
0.9,90,76,36.1036364089945
0.9,90,78,34.9496891871661
0.9,90,80,33.7865826073671
0.9,90,82,32.6145219937493
0.9,90,84,31.4333712812779
0.9,90,86,30.2426853747923
0.9,90,88,29.0417441919087
