"Freq [GHz]","Theta [deg]","Phi [deg]","ang_deg(rETheta) [deg]"
0.9,90,-180,25.0739591193814
0.9,90,-178,22.7628520920848
0.9,90,-176,20.4236482591213
0.9,90,-174,18.0615886244757
0.9,90,-172,15.6819907249529
0.9,90,-170,13.2902155118167
0.9,90,-168,10.8916337387697
0.9,90,-166,8.49159237687621
0.9,90,-164,6.09538157047584
0.9,90,-162,3.70820262720973
0.9,90,-160,1.3351375010112
0.9,90,-158,-1.01887981918894
0.9,90,-156,-3.34908965837154
0.9,90,-154,-5.6509304491404
0.9,90,-152,-7.92005974663154
0.9,90,-150,-10.1523723129532
0.9,90,-148,-12.3440151914548
0.9,90,-146,-14.4913997604051
0.9,90,-144,-16.5912108196863
0.9,90,-142,-18.6404128205439
0.9,90,-140,-20.6362533953179
0.9,90,-138,-22.5762643799568
0.9,90,-136,-24.4582605461129
0.9,90,-134,-26.2803362715059
0.9,90,-132,-28.0408603774834
0.9,90,-130,-29.7384693524063
0.9,90,-128,-31.3720591603405
0.9,90,-126,-32.940775808731
0.9,90,-124,-34.4440048188295
0.9,90,-122,-35.8813597113606
0.9,90,-120,-37.2526695900488
0.9,90,-118,-38.5579658797717
0.9,90,-116,-39.797468256557
0.9,90,-114,-40.9715697951801
0.9,90,-112,-42.0808213578962
0.9,90,-110,-43.1259152552722
0.9,90,-108,-44.10766822679
0.9,90,-106,-45.0270038137136
0.9,90,-104,-45.8849342277582
0.9,90,-102,-46.682541853902
0.9,90,-100,-47.4209605613501
0.9,90,-98,-48.1013570301543
0.9,90,-96,-48.7249123293306
0.9,90,-94,-49.2928040028775
0.9,90,-92,-49.8061889308165
0.9,90,-90,-50.2661872319244
0.9,90,-88,-50.6738674627602
0.9,90,-86,-51.0302333442932
0.9,90,-84,-51.3362122141659
0.9,90,-82,-51.5926453612679
0.9,90,-80,-51.8002803522743
0.9,90,-78,-51.9597654097772
0.9,90,-76,-52.0716458513258
0.9,90,-74,-52.1363625506152
0.9,90,-72,-52.1542523384032
0.9,90,-70,-52.1255502231744
0.9,90,-68,-52.0503932812544
0.9,90,-66,-51.9288260435756
0.9,90,-64,-51.7608071916517
0.9,90,-62,-51.5462173681233
0.9,90,-60,-51.2848679067141
0.9,90,-58,-50.976510291573
0.9,90,-56,-50.6208461656013
0.9,90,-54,-50.2175377202897
0.9,90,-52,-49.76621831464
0.9,90,-50,-49.2665031868948
0.9,90,-48,-48.7180001391324
0.9,90,-46,-48.120320090598
0.9,90,-44,-47.4730874104126
0.9,90,-42,-46.7759499536831
0.9,90,-40,-46.0285887368667
0.9,90,-38,-45.2307271985007
0.9,90,-36,-44.382140000198
0.9,90,-34,-43.4826613303252
0.9,90,-32,-42.5321926792893
0.9,90,-30,-41.5307100611538
0.9,90,-28,-40.4782706616906
0.9,90,-26,-39.37501889823
0.9,90,-24,-38.2211918820428
0.9,90,-22,-37.0171242796405
0.9,90,-20,-35.763252575405
0.9,90,-18,-34.4601187443458
0.9,90,-16,-33.1083733504016
0.9,90,-14,-31.7087780923291
0.9,90,-12,-30.2622078254889
0.9,90,-10,-28.7696520933127
0.9,90,-8,-27.2322162063771
0.9,90,-6,-25.6511219092457
0.9,90,-4,-24.0277076749855
0.9,90,-2,-22.3634286639906
0.9,90,0,-20.6598563770251
0.9,90,2,-18.91867802198
0.9,90,4,-17.1416955997334
0.9,90,6,-15.3308246969934
0.9,90,8,-13.4880929537585
0.9,90,10,-11.6156381510742
0.9,90,12,-9.71570584250689
0.9,90,14,-7.79064643193957
0.9,90,16,-5.84291158290951
0.9,90,18,-3.87504983287358
0.9,90,20,-1.88970128157692
0.9,90,22,0.110408772052834
0.9,90,24,2.12247735398168
0.9,90,26,4.1436325819791
0.9,90,28,6.17094371817032
0.9,90,30,8.20143250065374
0.9,90,32,10.2320856899771
0.9,90,34,12.2598687034325
0.9,90,36,14.2817401458922
0.9,90,38,16.2946669845722
0.9,90,40,18.2956400611371
0.9,90,42,20.2816895921537
0.9,90,44,22.2499002816206
0.9,90,46,24.1974256597081
0.9,90,48,26.1215012712269
0.9,90,50,28.0194563655931
0.9,90,52,29.8887237856742
0.9,90,54,31.7268478131214
0.9,90,56,33.5314897988995
0.9,90,58,35.3004314853459
0.9,90,60,37.0315760056627
0.9,90,62,38.722946623818
0.9,90,64,40.372683348503
0.9,90,66,41.9790376158728
0.9,90,68,43.540365285037
0.9,90,70,45.0551182263968
0.9,90,72,46.5218348055948
0.9,90,74,47.9391295755659
0.9,90,76,49.3056824871206
0.9,90,78,50.6202279163279
0.9,90,80,51.8815437866428
0.9,90,82,53.088441037347
0.9,90,84,54.2397536594672
0.9,90,86,55.3343294878156
0.9,90,88,56.3710219048085
0.9,90,90,57.3486825796426
0.9,90,92,58.2661553362908
0.9,90,94,59.1222712163826
0.9,90,96,59.9158447788369
0.9,90,98,60.6456716573191
0.9,90,100,61.3105273792432
0.9,90,102,61.9091674359619
0.9,90,104,62.4403285827322
0.9,90,106,62.902731338662
0.9,90,108,63.2950836507305
0.9,90,110,63.6160856817356
0.9,90,112,63.8644356792299
0.9,90,114,64.0388368807687
0.9,90,116,64.1380054097376
0.9,90,118,64.1606791152976
0.9,90,120,64.1056273092488
0.9,90,122,63.9716613515708
0.9,90,124,63.7576460347386
0.9,90,126,63.4625117143572
0.9,90,128,63.085267129919
0.9,90,130,62.6250128543003
0.9,90,132,62.0809553037077
0.9,90,134,61.4524212309387
0.9,90,136,60.7388726138342
0.9,90,138,59.9399218375538
0.9,90,140,59.0553470537615
0.9,90,142,58.0851075820596
0.9,90,144,57.0293591993005
0.9,90,146,55.8884691411636
0.9,90,148,54.6630306182607
0.9,90,150,53.3538766268778
0.9,90,152,51.9620928133779
0.9,90,154,50.4890291325731
0.9,90,156,48.9363100254783
0.9,90,158,47.3058428323623
0.9,90,160,45.5998241544711
0.9,90,162,43.8207438836958
0.9,90,164,41.9713866350284
0.9,90,166,40.0548303427781
0.9,90,168,38.074441818615
0.9,90,170,36.0338691173763
0.9,90,172,33.9370306143965
0.9,90,174,31.7881007644193
0.9,90,176,29.5914925848194
0.9,90,178,27.3518369822918
0.9,90,180,25.0739591193814
2.4,90,-180,-155.281270511079
2.4,90,-178,-160.971094953824
2.4,90,-176,-166.841263331534
2.4,90,-174,-172.9063503871
2.4,90,-172,-179.181052767379
2.4,90,-170,174.321777957308
2.4,90,-168,167.5936160489
2.4,90,-166,160.633217259092
2.4,90,-164,153.449838026128
2.4,90,-162,146.066250998524
2.4,90,-160,138.520814442032
2.4,90,-158,130.867702503953
2.4,90,-156,123.174563633001
2.4,90,-154,115.517450236753
2.4,90,-152,107.973724957641
2.4,90,-150,100.614412921897
2.4,90,-148,93.4977093914117
2.4,90,-146,86.6649215105779
2.4,90,-144,80.1392739950109
2.4,90,-142,73.9271899954671
2.4,90,-140,68.02119505995
2.4,90,-138,62.4035363197653
2.4,90,-136,57.0498162295375
2.4,90,-134,51.9322261737969
2.4,90,-132,47.02220699597
2.4,90,-130,42.292516405489
2.4,90,-128,37.7187540376778
2.4,90,-126,33.2804105518104
2.4,90,-124,28.96149543395
2.4,90,-122,24.7507805501677
2.4,90,-120,20.6416866165187
2.4,90,-118,16.6318439900176
2.4,90,-116,12.722377315009
2.4,90,-114,8.91698972338827
2.4,90,-112,5.22094699394268
2.4,90,-110,1.64007545810703
2.4,90,-108,-1.82011706788477
2.4,90,-106,-5.15511115778365
2.4,90,-104,-8.36178673624571
2.4,90,-102,-11.4385662287973
2.4,90,-100,-14.38531707413
2.4,90,-98,-17.203065757781
2.4,90,-96,-19.8935871949472
2.4,90,-94,-22.4589330475726
2.4,90,-92,-24.9009539527439
2.4,90,-90,-27.2208577212161
2.4,90,-88,-29.4188317447644
2.4,90,-86,-31.4937453793091
2.4,90,-84,-33.4429380430941
2.4,90,-82,-35.26209140616
2.4,90,-80,-36.9451790452981
2.4,90,-78,-38.4844837729731
2.4,90,-76,-39.870670985276
2.4,90,-74,-41.0929053910542
2.4,90,-72,-42.1389981239535
2.4,90,-70,-42.9955714096058
