"Freq [GHz]","Theta [deg]","Phi [deg]","ang_deg(rETheta) [deg]"
0.9,90,-180,72.3450149725501
0.9,90,-178,72.1775846652756
0.9,90,-176,71.9484941438667
0.9,90,-174,71.6578664589852
0.9,90,-172,71.3058568421661
0.9,90,-170,70.8926557033453
0.9,90,-168,70.418492227646
0.9,90,-166,69.883638527553
0.9,90,-164,69.2884142946501
0.9,90,-162,68.6331918813818
0.9,90,-160,67.9184017280479
0.9,90,-158,67.1445380339217
0.9,90,-156,66.3121645547017
0.9,90,-154,65.4219203924368
0.9,90,-152,64.4745256297307
0.9,90,-150,63.4707866487502
0.9,90,-148,62.4116009686671
0.9,90,-146,61.2979614339691
0.9,90,-144,60.1309595917317
0.9,90,-142,58.911788109293
0.9,90,-140,57.6417421052731
0.9,90,-138,56.3222192964259
0.9,90,-136,54.9547188997354
0.9,90,-134,53.5408392721177
0.9,90,-132,52.0822743171411
0.9,90,-130,50.580808736836
0.9,90,-128,49.0383122540756
0.9,90,-126,47.4567329741413
0.9,90,-124,45.8380900899571
0.9,90,-122,44.1844661614616
0.9,90,-120,42.4979992136177
0.9,90,-118,40.7808748983666
0.9,90,-116,39.0353189530841
0.9,90,-114,37.2635901624288
0.9,90,-112,35.4679739934978
0.9,90,-110,33.650777028344
0.9,90,-108,31.8143222662163
0.9,90,-106,29.9609453137846
0.9,90,-104,28.0929914286065
0.9,90,-102,26.2128133325213
0.9,90,-100,24.3227696703996
0.9,90,-98,22.4252239580213
0.9,90,-96,20.5225438423097
0.9,90,-94,18.6171004884321
0.9,90,-92,16.7112679112978
0.9,90,-90,14.807422082905
0.9,90,-88,12.9079396703598
0.9,90,-86,11.0151962902679
0.9,90,-84,9.13156420131953
0.9,90,-82,7.25940939582404
0.9,90,-80,5.40108809028979
0.9,90,-78,3.55894265259851
0.9,90,-76,1.73529703689991
0.9,90,-74,-0.0675481746041278
0.9,90,-72,-1.84732100249893
0.9,90,-70,-3.60178343929744
0.9,90,-68,-5.32873681645233
0.9,90,-66,-7.02602703026084
0.9,90,-64,-8.69154949608866
0.9,90,-62,-10.323253714773
0.9,90,-60,-11.9191473543481
0.9,90,-58,-13.4772997730176
0.9,90,-56,-14.9958449341618
0.9,90,-54,-16.4729836897046
0.9,90,-52,-17.9069854330722
0.9,90,-50,-19.2961891460778
0.9,90,-48,-20.6390038844221
0.9,90,-46,-21.9339087633709
0.9,90,-44,-23.1794525180713
0.9,90,-42,-24.374252721656
0.9,90,-40,-25.5169947487361
0.9,90,-38,-26.606430572274
0.9,90,-36,-27.6413774785051
0.9,90,-34,-28.6207167780248
0.9,90,-32,-29.5433925819383
0.9,90,-30,-30.4084107007419
0.9,90,-28,-31.214837711007
0.9,90,-26,-31.9618002216567
0.9,90,-24,-32.6484843582776
0.9,90,-22,-33.2741354710927
0.9,90,-20,-33.8380580604485
0.9,90,-18,-34.3396159033781
0.9,90,-16,-34.7782323563466
0.9,90,-14,-35.1533908029151
0.9,90,-12,-35.4646352109287
0.9,90,-10,-35.7115707620116
0.9,90,-8,-35.8938645165917
0.9,90,-6,-36.0112460802617
0.9,90,-4,-36.0635082418074
0.9,90,-2,-36.050507559419
0.9,90,0,-35.972164879105
0.9,90,2,-35.828465777769
0.9,90,4,-35.6194609323479
0.9,90,6,-35.3452664254019
0.9,90,8,-35.0060640061268
0.9,90,10,-34.6021013334613
0.9,90,12,-34.1336922343587
0.9,90,14,-33.6012170149682
0.9,90,16,-33.0051228650757
0.9,90,18,-32.3459243964047
0.9,90,20,-31.624204353057
0.9,90,22,-30.8406145273863
0.9,90,24,-29.9958769069229
0.9,90,26,-29.0907850677372
0.9,90,28,-28.1262058170608
0.9,90,30,-27.1030810734661
0.9,90,32,-26.0224299568985
0.9,90,34,-24.8853510439947
0.9,90,36,-23.6930247270965
0.9,90,38,-22.4467155989944
0.9,90,40,-21.1477747705476
0.9,90,42,-19.7976420158239
0.9,90,44,-18.3978476301211
0.9,90,46,-16.9500138809904
0.9,90,48,-15.4558559318387
0.9,90,50,-13.9171821223767
0.9,90,52,-12.3358935003771
0.9,90,54,-10.7139825149587
0.9,90,56,-9.05353080264519
0.9,90,58,-7.35670602318535
0.9,90,60,-5.62575773166296
0.9,90,62,-3.86301230558255
0.9,90,64,-2.07086697895163
0.9,90,66,-0.251783068269251
0.9,90,68,1.59172149392976
0.9,90,70,3.45708017543643
0.9,90,72,5.34168624663261
0.9,90,74,7.24290138995899
0.9,90,76,9.15806433097451
0.9,90,78,11.0844993068758
0.9,90,80,13.0195241983693
0.9,90,82,14.9604581690238
0.9,90,84,16.9046286818773
0.9,90,86,18.8493777948918
0.9,90,88,20.7920676732419
0.9,90,90,22.7300852955265
0.9,90,92,24.6608463707307
0.9,90,94,26.5817985210512
0.9,90,96,28.4904238204443
0.9,90,98,30.3842408080604
0.9,90,100,32.2608061179465
0.9,90,102,34.1177158802248
0.9,90,104,35.9526070535339
0.9,90,106,37.763158843482
0.9,90,108,39.547094347372
0.9,90,110,41.3021825422404
0.9,90,112,43.0262407025604
0.9,90,114,44.7171372975374
0.9,90,116,46.372795377914
0.9,90,118,47.9911964210224
0.9,90,120,49.5703845630327
0.9,90,122,51.1084711114291
0.9,90,124,52.6036392010027
0.9,90,126,54.0541484349433
0.9,90,128,55.4583393402897
0.9,90,130,56.8146374647512
0.9,90,132,58.1215569497416
0.9,90,134,59.3777034316881
0.9,90,136,60.5817761489851
0.9,90,138,61.7325691635689
0.9,90,140,62.8289716418546
0.9,90,142,63.8699671774225
0.9,90,144,64.8546321751032
0.9,90,146,65.7821333509255
0.9,90,148,66.651724433032
0.9,90,150,67.4627421738223
0.9,90,152,68.2146018024289
0.9,90,154,68.9067920588363
