"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
0.9,0,0,-18.9098572944101
0.9,0,2,-19.4159187417496
0.9,0,4,-20.017041105342
0.9,0,6,-20.7185736861102
0.9,0,8,-21.5218092087855
0.9,0,10,-22.4171504777024
0.9,0,12,-23.3698601112336
0.9,0,14,-24.2945877218965
0.9,0,16,-25.0263190387284
0.9,0,18,-25.3361921099596
0.9,0,20,-25.0609874130394
0.9,0,22,-24.2519031456667
0.9,0,24,-23.1230460804522
0.9,0,26,-21.8825993788544
0.9,0,28,-20.6570040164543
0.9,0,30,-19.5045069822953
0.9,0,32,-18.4453900012051
0.9,0,34,-17.4822538121017
0.9,0,36,-16.6104336989691
0.9,0,38,-15.822807117778
0.9,0,40,-15.1118775633383
0.9,0,42,-14.4706112724884
0.9,0,44,-13.8927201016338
0.9,0,46,-13.3727068262685
0.9,0,48,-12.9058154561655
0.9,0,50,-12.4879500380946
0.9,0,52,-12.1155893761152
0.9,0,54,-11.7857087039148
0.9,0,56,-11.4957119692081
0.9,0,58,-11.2433751821636
0.9,0,60,-11.0267999953308
0.9,0,62,-10.844376275333
0.9,0,64,-10.6947524063577
0.9,0,66,-10.5768122035123
0.9,0,68,-10.4896575060586
0.9,0,70,-10.4325957214127
0.9,0,72,-10.4051317840356
0.9,0,74,-10.4069641759817
0.9,0,76,-10.4379848315716
0.9,0,78,-10.4982829246285
0.9,0,80,-10.5881527226672
0.9,0,82,-10.7081059006221
0.9,0,84,-10.8588889528968
0.9,0,86,-11.0415066475935
0.9,0,88,-11.2572528593882
0.9,0,90,-11.5077506380417
0.9,0,92,-11.7950040761001
0.9,0,94,-12.121465516835
0.9,0,96,-12.4901230170292
0.9,0,98,-12.9046149338578
0.9,0,100,-13.3693813126506
0.9,0,102,-13.8898658022991
0.9,0,104,-14.4727876402158
0.9,0,106,-15.1265114079163
0.9,0,108,-15.8615529592274
0.9,0,110,-16.6912712751098
0.9,0,112,-17.6327979141994
0.9,0,114,-18.708208263864
0.9,0,116,-19.9456934116899
0.9,0,118,-21.3794933392964
0.9,0,120,-23.0434859140975
0.9,0,122,-24.9387492492554
0.9,0,124,-26.909406376593
0.9,0,126,-28.3385671928265
0.9,0,128,-28.2468191708709
0.9,0,130,-26.7260657331998
0.9,0,132,-24.7713397401357
0.9,0,134,-22.9285929556979
0.9,0,136,-21.3231591898904
0.9,0,138,-19.9469001274313
0.9,0,140,-18.7655692822756
0.9,0,142,-17.746054402036
0.9,0,144,-16.8614716212183
0.9,0,146,-16.0909438743041
0.9,0,148,-15.4183976586801
0.9,0,150,-14.8314171828899
0.9,0,152,-14.3203464200226
0.9,0,154,-13.8776236635023
0.9,0,156,-13.497295899125
0.9,0,158,-13.1746644909965
0.9,0,160,-12.9060252211175
0.9,0,162,-12.6884761468693
0.9,0,164,-12.5197745828767
0.9,0,166,-12.3982300607464
0.9,0,168,-12.3226239469229
0.9,0,170,-12.2921489992466
0.9,0,172,-12.3063638682691
0.9,0,174,-12.3651586230661
0.9,0,176,-12.468727919607
0.9,0,178,-12.6175484528676
0.9,0,180,-12.8123567584731
2.4,0,0,-3.52712586001719
2.4,0,2,-2.47000858139429
2.4,0,4,-1.63189846621962
2.4,0,6,-0.981450693564949
2.4,0,8,-0.495388878161641
2.4,0,10,-0.155706718678378
2.4,0,12,0.0523395668358558
2.4,0,14,0.141734036193199
2.4,0,16,0.124907232190342
2.4,0,18,0.0147646605260844
2.4,0,20,-0.174433503502386
2.4,0,22,-0.426416126914241
2.4,0,24,-0.722663928145189
2.4,0,26,-1.04289366985538
2.4,0,28,-1.3665667107465
2.4,0,30,-1.67548737137732
2.4,0,32,-1.95703262093387
2.4,0,34,-2.20697326902414
2.4,0,36,-2.43070650042358
2.4,0,38,-2.6423408761233
2.4,0,40,-2.86211301807191
2.4,0,42,-3.11329591609612
2.4,0,44,-3.41967496832416
2.4,0,46,-3.80409052844676
2.4,0,48,-4.28796945077864
2.4,0,50,-4.89142161272264
2.4,0,52,-5.63325222780791
2.4,0,54,-6.52980544939167
2.4,0,56,-7.59030982470433
2.4,0,58,-8.8032178686203
2.4,0,60,-10.1019876983507
2.4,0,62,-11.2989777050239
2.4,0,64,-12.0388346874005
2.4,0,66,-11.9800353635111
2.4,0,68,-11.1703761490882
2.4,0,70,-9.98507244800311
2.4,0,72,-8.74812186950756
2.4,0,74,-7.61590047326122
2.4,0,76,-6.63993255198096
2.4,0,78,-5.82708691035507
2.4,0,80,-5.16865298429947
2.4,0,82,-4.65180372829493
2.4,0,84,-4.26358498531863
2.4,0,86,-3.99196341334967
2.4,0,88,-3.82571144797504
2.4,0,90,-3.75378734309484
2.4,0,92,-3.76443792085067
2.4,0,94,-3.84410889632067
2.4,0,96,-3.97625485080661
2.4,0,98,-4.14027058957497
2.4,0,100,-4.31101311454264
2.4,0,102,-4.4596676853353
2.4,0,104,-4.55675208448482
2.4,0,106,-4.5773912236499
2.4,0,108,-4.50748222732949
2.4,0,110,-4.34795184842555
2.4,0,112,-4.11468210185587
2.4,0,114,-3.83414962722898
2.4,0,116,-3.53725178704135
2.4,0,118,-3.2540932093343
