"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
0.9,0,0,-19.6859330543167
0.9,0,2,-19.8593625361901
0.9,0,4,-20.0157518924894
0.9,0,6,-20.1501151893237
0.9,0,8,-20.257868869732
0.9,0,10,-20.335198657213
0.9,0,12,-20.3794059302905
0.9,0,14,-20.3891729317433
0.9,0,16,-20.3646940747272
0.9,0,18,-20.3076454261981
0.9,0,20,-20.2209990128235
0.9,0,22,-20.1087207929277
0.9,0,24,-19.9754100827498
0.9,0,26,-19.8259395686852
0.9,0,28,-19.6651419776395
0.9,0,30,-19.4975695823019
0.9,0,32,-19.3273334953346
0.9,0,34,-19.1580157476062
0.9,0,36,-18.9926396653193
0.9,0,38,-18.8336819873295
0.9,0,40,-18.6831115503241
0.9,0,42,-18.5424423867541
0.9,0,44,-18.4127924439962
0.9,0,46,-18.2949421340809
0.9,0,48,-18.189389282065
0.9,0,50,-18.0963987346361
0.9,0,52,-18.0160460164662
0.9,0,54,-17.9482551142561
0.9,0,56,-17.8928308544406
0.9,0,58,-17.8494865232904
0.9,0,60,-17.8178674339362
0.9,0,62,-17.7975711264904
0.9,0,64,-17.788164829607
0.9,0,66,-17.7892007361446
0.9,0,68,-17.8002295648455
0.9,0,70,-17.8208128011935
0.9,0,72,-17.8505339374295
0.9,0,74,-17.8890089656746
0.9,0,76,-17.9358963197961
0.9,0,78,-17.9909064112263
0.9,0,80,-18.0538108615442
0.9,0,82,-18.1244515005501
0.9,0,84,-18.2027491733134
0.9,0,86,-18.2887123839854
0.9,0,88,-18.3824457989061
0.9,0,90,-18.4841586376228
0.9,0,92,-18.5941729987719
0.9,0,94,-18.7129321991816
0.9,0,96,-18.8410092497707
0.9,0,98,-18.9791156516508
0.9,0,100,-19.1281107713056
0.9,0,102,-19.2890121464391
0.9,0,104,-19.4630071867347
0.9,0,106,-19.6514668707325
0.9,0,108,-19.85596220824
0.9,0,110,-20.0782844476838
0.9,0,112,-20.3204702750942
0.9,0,114,-20.5848335982377
0.9,0,116,-20.87400596693
0.9,0,118,-21.1909882913477
0.9,0,120,-21.5392173404839
0.9,0,122,-21.9226516025753
0.9,0,124,-22.3458825434879
0.9,0,126,-22.8142791555352
0.9,0,128,-23.3341758690798
0.9,0,130,-23.9131159151723
0.9,0,132,-24.560162405392
0.9,0,134,-25.2862827167545
0.9,0,136,-26.1047837806934
0.9,0,138,-27.0316850224047
0.9,0,140,-28.0856407090837
0.9,0,142,-29.2862045265041
0.9,0,144,-30.6468078452505
0.9,0,146,-32.1520193795564
0.9,0,148,-33.6939212383537
0.9,0,150,-34.9460598521472
0.9,0,152,-35.3466556984379
0.9,0,154,-34.6219978449976
0.9,0,156,-33.1852486057788
0.9,0,158,-31.5660048538933
0.9,0,160,-30.0267633705172
0.9,0,162,-28.6448872138595
0.9,0,164,-27.426183574639
0.9,0,166,-26.3555169835649
0.9,0,168,-25.4141691998558
0.9,0,170,-24.5850089885104
0.9,0,172,-23.8536318603127
0.9,0,174,-23.2082630132166
0.9,0,176,-22.6393467264807
0.9,0,178,-22.1391149458256
0.9,0,180,-21.7012164285405
2.4,0,0,-9.53369590451156
2.4,0,2,-12.5656377984453
2.4,0,4,-16.5902482791283
2.4,0,6,-20.5528567516165
2.4,0,8,-19.2993421691835
2.4,0,10,-16.008511842774
2.4,0,12,-13.7128421439321
2.4,0,14,-12.3426436635428
2.4,0,16,-11.6859994588256
2.4,0,18,-11.6477434203422
2.4,0,20,-12.2360795122001
2.4,0,22,-13.5798543210554
2.4,0,24,-16.0345476951471
2.4,0,26,-20.5347318290911
2.4,0,28,-25.9699309078876
2.4,0,30,-18.8092709831038
2.4,0,32,-13.2435119363086
2.4,0,34,-9.55827834402148
2.4,0,36,-6.84298548177154
2.4,0,38,-4.71652171415249
2.4,0,40,-2.99120246615369
2.4,0,42,-1.56108498263797
2.4,0,44,-0.360275460719669
2.4,0,46,0.655215146085602
2.4,0,48,1.51636038395745
2.4,0,50,2.24588663001313
2.4,0,52,2.86101939424735
2.4,0,54,3.3751583976614
2.4,0,56,3.79894907592236
2.4,0,58,4.14099654498678
2.4,0,60,4.40835899864152
2.4,0,62,4.60690061918591
2.4,0,64,4.74155295886293
2.4,0,66,4.81651606474648
2.4,0,68,4.83542029695974
2.4,0,70,4.80146368789427
2.4,0,72,4.71753611058384
2.4,0,74,4.58633949933138
2.4,0,76,4.4105122872024
2.4,0,78,4.19276562710056
2.4,0,80,3.93603835983822
2.4,0,82,3.64367642330144
2.4,0,84,3.31963946111486
2.4,0,86,2.96873130038622
2.4,0,88,2.59683974979419
2.4,0,90,2.21115279627437
2.4,0,92,1.82029209130444
2.4,0,94,1.43427428647668
2.4,0,96,1.06418858428173
2.4,0,98,0.721488426247164
2.4,0,100,0.416865553103571
2.4,0,102,0.158817784737334
2.4,0,104,-0.0478003549708516
2.4,0,106,-0.202841505942383
2.4,0,108,-0.311198112806021
2.4,0,110,-0.382299296509398
2.4,0,112,-0.428970070166461
2.4,0,114,-0.466042383433719
2.4,0,116,-0.509104467293961
2.4,0,118,-0.5736302505955
2.4,0,120,-0.674558497016505
2.4,0,122,-0.826274494375434
2.4,0,124,-1.04290595767464
2.4,0,126,-1.33886037841148
2.4,0,128,-1.72957796666472
2.4,0,130,-2.2325390165889
2.4,0,132,-2.86865067134458
2.4,0,134,-3.66426971672988
2.4,0,136,-4.65435041055489
2.4,0,138,-5.88765313723742
2.4,0,140,-7.43581687654137
2.4,0,142,-9.40946976750827
2.4,0,144,-11.9829945603341
2.4,0,146,-15.3770088862043
2.4,0,148,-19.111568278473
2.4,0,150,-19.0933539518421
2.4,0,152,-15.7362592506565
2.4,0,154,-12.8802904938576
2.4,0,156,-10.8651160338679
2.4,0,158,-9.48312979830749
2.4,0,160,-8.58467020170781
2.4,0,162,-8.08545177266258
2.4,0,164,-7.94417230491734
2.4,0,166,-8.15025795933442
2.4,0,168,-8.72040634330519
2.4,0,170,-9.70258856598871
2.4,0,172,-11.1885948916484
2.4,0,174,-13.3338346297166
2.4,0,176,-16.3206122047027
2.4,0,178,-19.535466241234
2.4,0,180,-19.0154017822907
4,0,0,-13.1885934255929
4,0,2,-11.861682300987
4,0,4,-11.5383757033301
4,0,6,-12.1410616545554
4,0,8,-13.7995323427486
4,0,10,-16.9218603919923
4,0,12,-21.6618060991313
4,0,14,-20.3619029836678
4,0,16,-15.1216198635126
4,0,18,-11.625593011896
4,0,20,-9.3850778870214
4,0,22,-7.99014934226288
4,0,24,-7.24640336136249
4,0,26,-7.07249424942408
4,0,28,-7.46161941477779
4,0,30,-8.48019722966389
4,0,32,-10.2968659171732
4,0,34,-13.2092563015066
4,0,36,-16.8365725062568
4,0,38,-15.6309441534897
4,0,40,-10.971714991836
4,0,42,-7.29320819702173
4,0,44,-4.56223027357187
4,0,46,-2.46301864224835
4,0,48,-0.803518967053413
4,0,50,0.530461439774423
4,0,52,1.61079767003424
4,0,54,2.4854023811305
4,0,56,3.18783194589984
4,0,58,3.74260060658436
4,0,60,4.16828905986317
4,0,62,4.4794557317648
4,0,64,4.68786622491107
4,0,66,4.80331958245107
4,0,68,4.83422893951997
4,0,70,4.78804822100108
4,0,72,4.67159859203314
4,0,74,4.49132556033712
4,0,76,4.25350350775075
4,0,78,3.96439543429713
4,0,80,3.63036971684454
4,0,82,3.25797147906403
4,0,84,2.85394320043609
4,0,86,2.42518756401305
4,0,88,1.97866592041328
4,0,90,1.52122911426225
4,0,92,1.05938459131799
4,0,94,0.59901457886477
4,0,96,0.145072932818902
4,0,98,-0.298700765599775
4,0,100,-0.730007049691598
4,0,102,-1.14811627670677
4,0,104,-1.55388498735818
4,0,106,-1.94966932807318
4,0,108,-2.33917544414968
4,0,110,-2.72731027792859
4,0,112,-3.12010785983039
4,0,114,-3.52480329103642
4,0,116,-3.95010930664155
4,0,118,-4.40672049583711
4,0,120,-4.90803086915008
4,0,122,-5.47100282433117
4,0,124,-6.1170578437022
4,0,126,-6.87270900949871
4,0,128,-7.76919932695336
4,0,130,-8.83893315349065
4,0,132,-10.1018353081145
4,0,134,-11.5217352556461
4,0,136,-12.8925984741461
4,0,138,-13.69415788199
4,0,140,-13.384533803303
4,0,142,-12.1637728857339
4,0,144,-10.6904189026268
4,0,146,-9.38254012060731
4,0,148,-8.39386645815858
4,0,150,-7.77087757649624
4,0,152,-7.53433680216415
4,0,154,-7.7105891173975
4,0,156,-8.34659953837536
4,0,158,-9.52335592898806
4,0,160,-11.369715981907
4,0,162,-14.0291391748573
4,0,164,-17.1247951214351
4,0,166,-17.7344665650111
4,0,168,-15.0675970537617
4,0,170,-12.4909940359129
4,0,172,-10.7954276426687
4,0,174,-9.90203427448625
4,0,176,-9.71972332752002
4,0,178,-10.2296266460922
4,0,180,-11.4890684160998
6,0,0,-11.8542754550149
6,0,2,-13.0248199977489
6,0,4,-15.3648308573827
6,0,6,-18.7930687335761
6,0,8,-21.4584103239933
6,0,10,-20.8250029098218
6,0,12,-20.0516914223177
6,0,14,-21.0535330991371
6,0,16,-22.8520140508094
6,0,18,-19.6453111266122
6,0,20,-14.8191147565951
6,0,22,-11.4827290302078
6,0,24,-9.46573892190704
6,0,26,-8.54002538320367
6,0,28,-8.66106050069305
6,0,30,-10.0057395900849
6,0,32,-13.2288540122025
6,0,34,-20.7849491592727
6,0,36,-19.1944179785295
6,0,38,-11.2320252114604
6,0,40,-7.13840601923838
6,0,42,-4.6820257319951
6,0,44,-3.19419605769269
6,0,46,-2.3948287094416
6,0,48,-2.13345121192299
6,0,50,-2.30123871334391
6,0,52,-2.77832839765727
6,0,54,-3.3832502180251
6,0,56,-3.8446328048278
6,0,58,-3.88648448924848
6,0,60,-3.43638105067091
6,0,62,-2.6766650614054
6,0,64,-1.84925253644696
6,0,66,-1.11073986737598
6,0,68,-0.527892092128658
6,0,70,-0.115096448384049
6,0,72,0.13799809480885
6,0,74,0.252234835378497
6,0,76,0.252151790136384
6,0,78,0.162503215172042
6,0,80,0.00627685504597648
6,0,82,-0.196335447795567
6,0,84,-0.428087322136964
6,0,86,-0.674074124728265
6,0,88,-0.920799496647686
6,0,90,-1.15559373186022
6,0,92,-1.36705743906719
6,0,94,-1.54682276393497
6,0,96,-1.69224316796607
6,0,98,-1.80897239693542
6,0,100,-1.91227324034698
6,0,102,-2.0265448371799
6,0,104,-2.183572076899
6,0,106,-2.42065131761785
6,0,108,-2.77970586003457
6,0,110,-3.30805540467825
6,0,112,-4.0610405366598
6,0,114,-5.10605815946968
6,0,116,-6.52466381913537
6,0,118,-8.39326110900284
6,0,120,-10.6393186652233
6,0,122,-12.4385264147546
6,0,124,-12.0491488889419
6,0,126,-9.96821532492323
6,0,128,-7.9057554985202
6,0,130,-6.4121761781136
6,0,132,-5.54470880380282
6,0,134,-5.301067949973
6,0,136,-5.7185563851675
6,0,138,-6.91461285579698
6,0,140,-9.15806188594591
6,0,142,-13.0260561217362
6,0,144,-18.3470261179361
6,0,146,-15.445810923154
6,0,148,-10.7265548473379
6,0,150,-8.01651641685573
6,0,152,-6.66206345584683
6,0,154,-6.34507986464441
6,0,156,-6.99270286683276
6,0,158,-8.72127971253725
6,0,160,-11.9439162255911
6,0,162,-17.9244768256172
6,0,164,-25.7035622504094
6,0,166,-18.0100893667951
6,0,168,-14.4652004261427
6,0,170,-13.4734649554753
6,0,172,-14.1284128199381
6,0,174,-15.9042923438924
6,0,176,-17.1646560922696
6,0,178,-15.9005663227428
6,0,180,-13.959377182767
