"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
0.9,0,0,-19.9843115994014
0.9,0,2,-20.1383839911833
0.9,0,4,-20.2583925536214
0.9,0,6,-20.3402736047426
0.9,0,8,-20.3816483208707
0.9,0,10,-20.3821008646395
0.9,0,12,-20.3432241654528
0.9,0,14,-20.2684219266649
0.9,0,16,-20.1625145870689
0.9,0,18,-20.0312372806425
0.9,0,20,-19.8807266007109
0.9,0,22,-19.7170734716905
0.9,0,24,-19.5459856486232
0.9,0,26,-19.3725702294604
0.9,0,28,-19.2012231780609
0.9,0,30,-19.035601320823
0.9,0,32,-18.8786501692753
0.9,0,34,-18.7326643509377
0.9,0,36,-18.5993630434318
0.9,0,38,-18.4799684640142
0.9,0,40,-18.3752801508366
0.9,0,42,-18.2857412097989
0.9,0,44,-18.2114950031042
0.9,0,46,-18.1524321753272
0.9,0,48,-18.10822871324
0.9,0,50,-18.0783761357656
0.9,0,52,-18.0622050720144
0.9,0,54,-18.0589035185739
0.9,0,56,-18.0675310419842
0.9,0,58,-18.08703014932
0.9,0,60,-18.1162360090681
0.9,0,62,-18.1538856714523
0.9,0,64,-18.1986279066307
0.9,0,66,-18.2490347370804
0.9,0,68,-18.303615667077
0.9,0,70,-18.3608354836904
0.9,0,72,-18.4191362960759
0.9,0,74,-18.4769641736875
0.9,0,76,-18.5328003313498
0.9,0,78,-18.5851963003195
0.9,0,80,-18.6328119544533
0.9,0,82,-18.6744546908597
0.9,0,84,-18.7091175787477
0.9,0,86,-18.7360139821637
0.9,0,88,-18.7546061155506
0.9,0,90,-18.764625256244
0.9,0,92,-18.7660819135147
0.9,0,94,-18.7592650773783
0.9,0,96,-18.7447306270112
0.9,0,98,-18.7232799234277
0.9,0,100,-18.6959304019315
0.9,0,102,-18.6638805088762
0.9,0,104,-18.6284715417928
0.9,0,106,-18.5911488596055
0.9,0,108,-18.5534245878819
0.9,0,110,-18.5168434396486
0.9,0,112,-18.4829526985316
0.9,0,114,-18.4532768488221
0.9,0,116,-18.4292968440287
0.9,0,118,-18.4124336124075
0.9,0,120,-18.4040351120257
0.9,0,122,-18.405366058882
0.9,0,124,-18.417599338991
0.9,0,126,-18.4418080546849
0.9,0,128,-18.4789571229685
0.9,0,130,-18.529893319736
0.9,0,132,-18.5953326340329
0.9,0,134,-18.6758437548663
0.9,0,136,-18.7718264624225
0.9,0,138,-18.8834836518641
0.9,0,140,-19.010785715198
0.9,0,142,-19.1534261051508
0.9,0,144,-19.3107672014949
0.9,0,146,-19.4817762407044
0.9,0,148,-19.6649522582351
0.9,0,150,-19.8582469871974
0.9,0,152,-20.0589857325225
0.9,0,154,-20.2637985848569
0.9,0,156,-20.4685778494135
0.9,0,158,-20.6684835114009
0.9,0,160,-20.8580231783134
0.9,0,162,-21.0312331812862
0.9,0,164,-21.1819794131179
0.9,0,166,-21.3043767009073
0.9,0,168,-21.3932942737807
0.9,0,170,-21.4448790265637
0.9,0,172,-21.4570016588645
0.9,0,174,-21.4295291834385
0.9,0,176,-21.3643587337586
0.9,0,178,-21.2652042880653
0.9,0,180,-21.1371880147206
2.4,0,0,-9.90359071023236
2.4,0,2,-10.5852328234777
2.4,0,4,-11.2494692179587
2.4,0,6,-11.7746400036999
2.4,0,8,-11.9770326048841
