"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
0.9,0,0,-21.1622193585063
0.9,0,2,-20.9159481541495
0.9,0,4,-20.6587777989683
0.9,0,6,-20.396744360723
0.9,0,8,-20.1351463375862
0.9,0,10,-19.8784697919452
0.9,0,12,-19.6303948123761
0.9,0,14,-19.3938528730975
0.9,0,16,-19.1711106940003
0.9,0,18,-18.9638633759522
0.9,0,20,-18.7733259539514
0.9,0,22,-18.6003173606787
0.9,0,24,-18.4453341100992
0.9,0,26,-18.3086130776774
0.9,0,28,-18.1901839175119
0.9,0,30,-18.0899122222323
0.9,0,32,-18.0075347294621
0.9,0,34,-17.9426878679678
0.9,0,36,-17.894930819481
0.9,0,38,-17.863764110421
0.9,0,40,-17.8486445764134
0.9,0,42,-17.8489973798459
0.9,0,44,-17.8642256149798
0.9,0,46,-17.8937179089474
0.9,0,48,-17.9368543199574
0.9,0,50,-17.9930107444994
0.9,0,52,-18.0615619710881
0.9,0,54,-18.1418834569724
0.9,0,56,-18.2333518543538
0.9,0,58,-18.3353442725254
0.9,0,60,-18.4472362309607
0.9,0,62,-18.5683982353084
0.9,0,64,-18.6981908937526
0.9,0,66,-18.8359584863718
0.9,0,68,-18.9810209071238
0.9,0,70,-19.1326639203894
0.9,0,72,-19.2901277166417
0.9,0,74,-19.4525938216349
0.9,0,76,-19.619170519167
0.9,0,78,-19.7888770991361
0.9,0,80,-19.9606274509526
0.9,0,82,-20.1332137965357
0.9,0,84,-20.305291701198
0.9,0,86,-20.4753679082038
0.9,0,88,-20.6417929890586
0.9,0,90,-20.8027612348895
0.9,0,92,-20.9563205473557
0.9,0,94,-21.1003951938643
0.9,0,96,-21.232824013002
0.9,0,98,-21.3514158274326
0.9,0,100,-21.4540223219145
0.9,0,102,-21.5386264667403
0.9,0,104,-21.6034418938101
0.9,0,106,-21.6470158785238
0.9,0,108,-21.6683263630206
0.9,0,110,-21.6668624611804
0.9,0,112,-21.6426786456361
0.9,0,114,-21.5964154739108
0.9,0,116,-21.529283879854
0.9,0,118,-21.4430148825766
0.9,0,120,-21.3397809774074
0.9,0,122,-21.2220985374792
0.9,0,124,-21.0927217621354
0.9,0,126,-20.95453808414
0.9,0,128,-20.8104729520354
0.9,0,130,-20.6634092090778
0.9,0,132,-20.516123545241
0.9,0,134,-20.3712401721076
0.9,0,136,-20.231200196368
0.9,0,138,-20.0982441768051
0.9,0,140,-19.9744049401554
0.9,0,142,-19.8615077425132
0.9,0,144,-19.7611751310502
0.9,0,146,-19.6748342496165
0.9,0,148,-19.60372474403
0.9,0,150,-19.5489057986416
0.9,0,152,-19.511261145047
0.9,0,154,-19.4915011178881
0.9,0,156,-19.4901609968541
0.9,0,158,-19.5075949827898
0.9,0,160,-19.5439652305776
0.9,0,162,-19.5992254302465
0.9,0,164,-19.673098527077
0.9,0,166,-19.7650483492906
0.9,0,168,-19.8742452311187
0.9,0,170,-19.9995262596809
0.9,0,172,-20.1393516312976
0.9,0,174,-20.2917598754225
0.9,0,176,-20.4543264660915
0.9,0,178,-20.6241325852394
0.9,0,180,-20.7977533542991
2.4,0,0,-9.23198021076699
2.4,0,2,-8.46479005482782
2.4,0,4,-7.54852894746291
2.4,0,6,-6.56715578874226
2.4,0,8,-5.59596573107509
2.4,0,10,-4.68621326720245
2.4,0,12,-3.86625813142524
2.4,0,14,-3.14808814951419
2.4,0,16,-2.53335776782527
2.4,0,18,-2.01750089272878
2.4,0,20,-1.59218268172315
2.4,0,22,-1.24667416964249
2.4,0,24,-0.968639695660451
2.4,0,26,-0.74468313070179
2.4,0,28,-0.560884868447863
2.4,0,30,-0.40346822877356
2.4,0,32,-0.259637446017198
2.4,0,34,-0.118520736312931
2.4,0,36,0.027949356204062
2.4,0,38,0.184436084540909
2.4,0,40,0.352056217102482
2.4,0,42,0.528745558768069
2.4,0,44,0.710028291596775
2.4,0,46,0.889981996633463
2.4,0,48,1.06217771551119
2.4,0,50,1.22043807892616
2.4,0,52,1.3593479002492
2.4,0,54,1.47452740783601
2.4,0,56,1.562720047874
2.4,0,58,1.62175769403401
2.4,0,60,1.65045836723094
2.4,0,62,1.6484967436017
2.4,0,64,1.6162729773863
2.4,0,66,1.55479373972821
2.4,0,68,1.46557138381233
2.4,0,70,1.35054216696068
2.4,0,72,1.21200158335126
2.4,0,74,1.05255327982521
2.4,0,76,0.875067151182418
2.4,0,78,0.682641664059889
2.4,0,80,0.478565042828049
2.4,0,82,0.266269618716645
2.4,0,84,0.0492734788542967
2.4,0,86,-0.168896238184558
2.4,0,88,-0.384803162933951
2.4,0,90,-0.595227478473335
2.4,0,92,-0.797317315298522
2.4,0,94,-0.98876094125702
2.4,0,96,-1.16796968555165
2.4,0,98,-1.3342565694312
2.4,0,100,-1.48799242093419
2.4,0,102,-1.6307213107735
2.4,0,104,-1.76522128540954
2.4,0,106,-1.89550420013718
2.4,0,108,-2.02675826037416
2.4,0,110,-2.16524614826913
2.4,0,112,-2.31817793643233
2.4,0,114,-2.49357989028674
2.4,0,116,-2.70017744742276
2.4,0,118,-2.94730359509071
2.4,0,120,-3.24483272739932
2.4,0,122,-3.60312330229209
2.4,0,124,-4.03292483971117
2.4,0,126,-4.54515301921299
2.4,0,128,-5.15033283366586
2.4,0,130,-5.85729691930466
2.4,0,132,-6.670299587399
2.4,0,134,-7.58293090538978
2.4,0,136,-8.56620202861226
2.4,0,138,-9.54866860700183
2.4,0,140,-10.3955060569744
2.4,0,142,-10.9210892470429
2.4,0,144,-10.9828257929508
2.4,0,146,-10.6002943518811
2.4,0,148,-9.94112566047989
2.4,0,150,-9.19497606904404
2.4,0,152,-8.49388480053078
2.4,0,154,-7.90898073486288
2.4,0,156,-7.47241819167468
2.4,0,158,-7.19550902201346
2.4,0,160,-7.0785815595513
2.4,0,162,-7.11481211065969
2.4,0,164,-7.2901208453509
2.4,0,166,-7.58019907483325
2.4,0,168,-7.9455060051026
2.4,0,170,-8.32648126009673
2.4,0,172,-8.64477814927681
2.4,0,174,-8.81919590822738
2.4,0,176,-8.79758893622984
2.4,0,178,-8.58505816451092
2.4,0,180,-8.24171033262863
4,0,0,-14.987169485315
4,0,2,-13.7180208900595
4,0,4,-12.8640105301534
4,0,6,-12.4620344241181
4,0,8,-12.4704938560373
4,0,10,-12.7757556518471
4,0,12,-13.1275013664895
4,0,14,-13.1045918623802
4,0,16,-12.365342687981
4,0,18,-11.0297156811249
4,0,20,-9.4992814188956
4,0,22,-8.06631652637831
4,0,24,-6.84921611943043
4,0,26,-5.87009258371398
4,0,28,-5.11094732978895
4,0,30,-4.53793769628295
4,0,32,-4.11028741840131
4,0,34,-3.78403430841145
4,0,36,-3.51534976002907
4,0,38,-3.26521409655829
4,0,40,-3.00497818103159
4,0,42,-2.72056227432876
4,0,44,-2.41289864868192
4,0,46,-2.09420094117259
4,0,48,-1.78205384806508
4,0,50,-1.4940084540594
4,0,52,-1.24423456700911
4,0,54,-1.04230242317167
4,0,56,-0.893394235931074
4,0,58,-0.799188208153446
4,0,60,-0.758903912597618
4,0,62,-0.770252286596071
4,0,64,-0.830197742841953
4,0,66,-0.935519902493534
4,0,68,-1.08319022456995
4,0,70,-1.27058186624047
4,0,72,-1.49552684037
4,0,74,-1.75623171505368
4,0,76,-2.05106428715945
4,0,78,-2.37822764835684
4,0,80,-2.73534259150549
4,0,82,-3.11896371198893
4,0,84,-3.52406150534812
4,0,86,-3.94351838635812
4,0,88,-4.36771838810426
4,0,90,-4.78436174536968
4,0,92,-5.17869532466819
4,0,94,-5.53437813016915
4,0,96,-5.83512643259447
4,0,98,-6.0670394565433
4,0,100,-6.22112636020183
4,0,102,-6.29524746391501
4,0,104,-6.29473956157247
4,0,106,-6.23150171769397
4,0,108,-6.12197479266799
4,0,110,-5.98481176326394
4,0,112,-5.83893645099446
4,0,114,-5.70231819566107
