"Freq [GHz]","Phi [deg]","Theta [deg]","ang_deg(rEPhi) [deg]"
0.9,0,0,86.2744471253975
0.9,0,2,88.2174489489527
0.9,0,4,90.2354629032033
0.9,0,6,92.3301293929427
0.9,0,8,94.5024871717776
0.9,0,10,96.7528293189536
0.9,0,12,99.080551057643
0.9,0,14,101.483995637561
0.9,0,16,103.960306796295
0.9,0,18,106.505298507241
0.9,0,20,109.113354442554
0.9,0,22,111.777370369464
0.9,0,24,114.488752088366
0.9,0,26,117.237479140997
0.9,0,28,120.012240230948
0.9,0,30,122.800640325984
0.9,0,32,125.589472384324
0.9,0,34,128.365039559188
0.9,0,36,131.113507767275
0.9,0,38,133.821264754679
0.9,0,40,136.475260987908
0.9,0,42,139.063309998647
0.9,0,44,141.574330763425
0.9,0,46,143.998521361773
0.9,0,48,146.327460354038
0.9,0,50,148.554138934578
0.9,0,52,150.672932115467
0.9,0,54,152.679520550583
0.9,0,56,154.570776086466
0.9,0,58,156.344623991982
0.9,0,60,157.999893508661
0.9,0,62,159.536166353026
0.9,0,64,160.953630515455
0.9,0,66,162.252944459488
0.9,0,68,163.435114839629
0.9,0,70,164.501389230807
0.9,0,72,165.453164127127
0.9,0,74,166.291907598234
0.9,0,76,167.019095437271
0.9,0,78,167.636159333027
0.9,0,80,168.144445489249
0.9,0,82,168.545182142022
0.9,0,84,168.839454547417
0.9,0,86,169.028186192251
0.9,0,88,169.11212519601
0.9,0,90,169.091835104788
0.9,0,92,168.967689517497
0.9,0,94,168.739870223954
0.9,0,96,168.408368770205
0.9,0,98,167.972991596503
0.9,0,100,167.433369116534
0.9,0,102,166.788969320711
0.9,0,104,166.039116688369
0.9,0,106,165.183017377165
0.9,0,108,164.219791812958
0.9,0,110,163.148515914451
0.9,0,112,161.968272232141
0.9,0,114,160.678212231471
0.9,0,116,159.277630768774
0.9,0,118,157.766053452593
0.9,0,120,156.14333700625
0.9,0,122,154.409781907635
0.9,0,124,152.566255450273
0.9,0,126,150.614321945611
0.9,0,128,148.556375115865
0.9,0,130,146.39576592041
0.9,0,132,144.136917306312
0.9,0,134,141.785415946487
0.9,0,136,139.348070262096
0.9,0,138,136.832924272333
0.9,0,140,134.249218372189
0.9,0,142,131.607291155345
0.9,0,144,128.918420783969
0.9,0,146,126.194609774012
0.9,0,148,123.448322745389
0.9,0,150,120.692191828067
0.9,0,152,117.938708151658
0.9,0,154,115.199919503095
0.9,0,156,112.48715350479
0.9,0,158,109.810782682146
0.9,0,160,107.180043103038
0.9,0,162,104.602912697822
0.9,0,164,102.086049788182
0.9,0,166,99.6347875234265
0.9,0,168,97.253176345865
0.9,0,170,94.9440644855013
0.9,0,172,92.7092057540875
0.9,0,174,90.5493843189323
0.9,0,176,88.4645473461348
0.9,0,178,86.4539380620732
0.9,0,180,84.5162235914582
2.4,0,0,83.4357841670055
2.4,0,2,87.7760087559225
2.4,0,4,91.843010910207
2.4,0,6,95.7122412941774
2.4,0,8,99.4680913375298
2.4,0,10,103.198980831145
2.4,0,12,106.997360037317
2.4,0,14,110.962471563787
2.4,0,16,115.204691076105
2.4,0,18,119.850607492097
2.4,0,20,125.047617603298
2.4,0,22,130.9653491382
2.4,0,24,137.788100921911
2.4,0,26,145.687642381207
2.4,0,28,154.76263547257
2.4,0,30,164.94226645183
2.4,0,32,175.895119005723
2.4,0,34,-172.961338966965
2.4,0,36,-162.291068049827
2.4,0,38,-152.60819244258
2.4,0,40,-144.157279009083
2.4,0,42,-136.948052353699
2.4,0,44,-130.856881129212
2.4,0,46,-125.713499193914
2.4,0,48,-121.349861646806
2.4,0,50,-117.620047134971
2.4,0,52,-114.404680624985
2.4,0,54,-111.608852349871
2.4,0,56,-109.158064454588
2.4,0,58,-106.994116930187
2.4,0,60,-105.071584499673
2.4,0,62,-103.355005746137
2.4,0,64,-101.816713250984
2.4,0,66,-100.435182587135
2.4,0,68,-99.1937802663413
2.4,0,70,-98.0798092730037
2.4,0,72,-97.0837715530992
2.4,0,74,-96.1987852366787
2.4,0,76,-95.4201096452724
2.4,0,78,-94.7447437100108
2.4,0,80,-94.171073978248
2.4,0,82,-93.6985574385783
2.4,0,84,-93.3274321948944
2.4,0,86,-93.0584555522305
2.4,0,88,-92.8926741395905
2.4,0,90,-92.8312340292738
2.4,0,92,-92.8752402444208
2.4,0,94,-93.0256746105119
2.4,0,96,-93.28337891542
2.4,0,98,-93.6491073855344
2.4,0,100,-94.1236493508333
2.4,0,102,-94.7080205215443
2.4,0,104,-95.403720337093
2.4,0,106,-96.2130540296313
2.4,0,108,-97.139521861998
2.4,0,110,-98.1882848625818
2.4,0,112,-99.3667267856485
2.4,0,114,-100.685146822048
2.4,0,116,-102.157638312811
2.4,0,118,-103.803238061558
2.4,0,120,-105.647473203941
2.4,0,122,-107.724494756411
2.4,0,124,-110.080078502573
2.4,0,126,-112.77590589144
2.4,0,128,-115.895715025072
2.4,0,130,-119.55410368331
2.4,0,132,-123.908807876612
2.4,0,134,-129.176574748768
2.4,0,136,-135.649464269056
2.4,0,138,-143.69778632913
2.4,0,140,-153.719455803885
2.4,0,142,-165.956692542647
2.4,0,144,179.864217450502
2.4,0,146,164.813454909377
2.4,0,148,150.405283505476
2.4,0,150,137.747433256731
2.4,0,152,127.145693927276
2.4,0,154,118.363106802483
2.4,0,156,110.986256749084
2.4,0,158,104.617708533354
2.4,0,160,98.9306675910312
2.4,0,162,93.6664768091358
2.4,0,164,88.6173028484091
2.4,0,166,83.6090027491407
2.4,0,168,78.4881721335702
2.4,0,170,73.1143296350076
2.4,0,172,67.3581640186114
2.4,0,174,61.1077121445485
2.4,0,176,54.2849730441174
2.4,0,178,46.8739268439588
2.4,0,180,38.9546669029926
4,0,0,92.3154983485668
4,0,2,93.0572844037184
4,0,4,95.509435363933
4,0,6,99.5474538632751
4,0,8,104.954701410228
4,0,10,111.387929387156
4,0,12,118.388078051675
4,0,14,125.459920994243
4,0,16,132.185859451394
4,0,18,138.305574171183
4,0,20,143.728797395249
4,0,22,148.507446105376
4,0,24,152.824809382034
4,0,26,157.12225607892
4,0,28,163.270349409192
4,0,30,-92.2571881611439
4,0,32,-25.714345448503
4,0,34,-20.9553712668116
4,0,36,-18.4386867145865
4,0,38,-16.6186409497679
4,0,40,-15.1494258370357
4,0,42,-13.8993139656491
4,0,44,-12.8025250463543
4,0,46,-11.8204501040484
4,0,48,-10.9275201621944
4,0,50,-10.1044284980091
4,0,52,-9.33394629976658
4,0,54,-8.59773369091463
4,0,56,-7.8734516179786
4,0,58,-7.13160355064935
4,0,60,-6.33113461241236
4,0,62,-5.41157338132574
4,0,64,-4.27603185532525
4,0,66,-2.74838137316376
4,0,68,-0.445255553850003
4,0,70,3.71901989675036
4,0,72,14.5876783306198
4,0,74,80.820999006618
4,0,76,151.444584992423
4,0,78,162.956752795422
4,0,80,167.428218643358
4,0,82,170.024256288167
4,0,84,171.860060929372
4,0,86,173.310898217762
4,0,88,174.537934843798
4,0,90,175.624465022265
4,0,92,176.62296806631
4,0,94,177.575803091659
4,0,96,178.527914113877
4,0,98,179.539675841209
4,0,100,-179.292377478886
4,0,102,-177.790910151819
4,0,104,-175.579706487305
4,0,106,-171.690466092154
4,0,108,-162.72186751432
4,0,110,-128.721144523776
4,0,112,-48.8771474373337
4,0,114,-26.0950218683798
4,0,116,-19.4012331160608
4,0,118,-16.5863062012526
4,0,120,-15.2736660090958
4,0,122,-14.730360734098
4,0,124,-14.6697803926527
4,0,126,-14.9707508543681
4,0,128,-15.590719405272
4,0,130,-16.5364889775844
4,0,132,-17.859018917122
4,0,134,-19.6658711429999
4,0,136,-22.1590492192239
4,0,138,-25.7283968348224
4,0,140,-31.1960240466304
4,0,142,-40.5398055770348
4,0,144,-59.1676397837031
4,0,146,-97.6232050192762
4,0,148,-140.002647031805
4,0,150,-162.243633875765
4,0,152,-173.778756038457
4,0,154,178.745675354298
4,0,156,172.831166970541
4,0,158,167.3601996244
4,0,160,161.676323609204
4,0,162,155.279839076427
4,0,164,147.738760123339
4,0,166,138.739539433812
4,0,168,128.288883040774
4,0,170,116.983177673445
4,0,172,106.00840229945
4,0,174,96.6281713693242
4,0,176,89.6079382416334
4,0,178,85.1235560458849
4,0,180,83.0081590786385
6,0,0,-177.554010859631
6,0,2,-166.891983858484
6,0,4,-155.913748442282
6,0,6,-144.006569779598
6,0,8,-130.391879069648
6,0,10,-114.291819784886
6,0,12,-95.4047898728317
6,0,14,-74.6110609884282
6,0,16,-53.8908972799883
6,0,18,-34.9068347046124
6,0,20,-18.049755901728
6,0,22,-2.84067781525612
6,0,24,11.4392151626247
6,0,26,25.4822020404903
6,0,28,39.8927952482503
6,0,30,55.0928407930057
6,0,32,71.0711089945011
6,0,34,87.1274354136387
6,0,36,102.073404046367
6,0,38,114.946836045776
6,0,40,125.487110447044
6,0,42,133.995151470338
6,0,44,140.982415293716
6,0,46,146.951723019579
6,0,48,152.354661252189
6,0,50,157.699156679387
6,0,52,163.8612922249
6,0,54,172.976240666633
