"Freq [GHz]","Phi [deg]","Theta [deg]","ang_deg(rEPhi) [deg]"
0.9,0,0,88.5255450080483
0.9,0,2,87.6101421658188
0.9,0,4,86.7539898045344
0.9,0,6,85.954735016545
0.9,0,8,85.2101319542927
0.9,0,10,84.5180515754132
0.9,0,12,83.8764870771599
0.9,0,14,83.2835557775804
0.9,0,16,82.7374980615173
0.9,0,18,82.2366738830799
0.9,0,20,81.779557203936
0.9,0,22,81.3647286486775
0.9,0,24,80.9908665740842
0.9,0,26,80.6567366775809
0.9,0,28,80.3611802108336
0.9,0,30,80.1031008167946
0.9,0,32,79.8814499724749
0.9,0,34,79.6952109957117
0.9,0,36,79.5433815631345
0.9,0,38,79.4249546899739
0.9,0,40,79.3388981424043
0.9,0,42,79.2841322924185
0.9,0,44,79.259506486815
0.9,0,46,79.2637740888877
0.9,0,48,79.2955664667426
0.9,0,50,79.3533663479101
0.9,0,52,79.4354811365853
0.9,0,54,79.5400169954171
0.9,0,56,79.6648547226543
0.9,0,58,79.8076286972139
0.9,0,60,79.9657104025439
0.9,0,62,80.1361982520495
0.9,0,64,80.3159155946342
0.9,0,66,80.5014188431342
0.9,0,68,80.6890176022244
0.9,0,70,80.8748084375747
0.9,0,72,81.0547234928569
0.9,0,74,81.2245945073654
0.9,0,76,81.3802319173639
0.9,0,78,81.5175176695319
0.9,0,80,81.6325091980247
0.9,0,82,81.7215508129799
0.9,0,84,81.7813876399171
0.9,0,86,81.8092763736557
0.9,0,88,81.8030866022687
0.9,0,90,81.7613864285274
0.9,0,92,81.6835066367216
0.9,0,94,81.5695787290755
0.9,0,96,81.4205437250868
0.9,0,98,81.238130546724
0.9,0,100,81.024804914467
0.9,0,102,80.7836917340763
0.9,0,104,80.5184757419684
0.9,0,106,80.233286511132
0.9,0,108,79.9325746733628
0.9,0,110,79.6209863390678
0.9,0,112,79.3032422264433
0.9,0,114,78.984027051657
0.9,0,116,78.6678934337793
0.9,0,118,78.3591831065356
0.9,0,120,78.0619667707657
0.9,0,122,77.780002605252
0.9,0,124,77.5167123755677
0.9,0,126,77.2751732907705
0.9,0,128,77.0581232638235
0.9,0,130,76.867977008292
0.9,0,132,76.7068504045555
0.9,0,134,76.576590736993
0.9,0,136,76.4788106822714
0.9,0,138,76.4149242669047
0.9,0,140,76.3861833682145
0.9,0,142,76.393713676125
0.9,0,144,76.4385493436954
0.9,0,146,76.5216658205773
0.9,0,148,76.6440105811952
0.9,0,150,76.8065316287228
0.9,0,152,77.0102037802229
0.9,0,154,77.2560528225496
0.9,0,156,77.5451776781481
0.9,0,158,77.878770739802
0.9,0,160,78.2581365279367
0.9,0,162,78.6847087964829
0.9,0,164,79.1600661655148
0.9,0,166,79.6859462916071
0.9,0,168,80.2642584996062
0.9,0,170,80.8970946906054
0.9,0,172,81.5867382076903
0.9,0,174,82.3356701800025
0.9,0,176,83.1465726729563
0.9,0,178,84.0223277442392
0.9,0,180,84.9660112387195
2.4,0,0,163.619296647326
2.4,0,2,165.782412149748
2.4,0,4,167.535637777029
2.4,0,6,168.729297400176
2.4,0,8,169.249942876373
2.4,0,10,169.031045977451
2.4,0,12,168.057994268853
2.4,0,14,166.368351670382
2.4,0,16,164.047809438897
2.4,0,18,161.221317072064
2.4,0,20,158.039054789189
2.4,0,22,154.658634551881
2.4,0,24,151.227045917971
2.4,0,26,147.866570582499
2.4,0,28,144.667417422396
2.4,0,30,141.687203318963
2.4,0,32,138.955322654804
2.4,0,34,136.479588684014
2.4,0,36,134.253027942381
2.4,0,38,132.259630081756
2.4,0,40,130.478650508189
2.4,0,42,128.887541433953
2.4,0,44,127.463787749648
2.4,0,46,126.185956018483
2.4,0,48,125.034220346252
2.4,0,50,123.990563387176
2.4,0,52,123.038790087981
2.4,0,54,122.164444380595
2.4,0,56,121.354685238834
2.4,0,58,120.598155765528
2.4,0,60,119.884864258761
2.4,0,62,119.206086933106
2.4,0,64,118.554296183515
2.4,0,66,117.923114576718
2.4,0,68,117.307292175652
2.4,0,70,116.702702714961
2.4,0,72,116.106352180997
2.4,0,74,115.516391370936
2.4,0,76,114.932122099135
2.4,0,78,114.353985188982
2.4,0,80,113.783517727379
2.4,0,82,113.223267866203
2.4,0,84,112.676658288882
2.4,0,86,112.147794624684
2.4,0,88,111.641222405061
2.4,0,90,111.161644775456
2.4,0,92,110.713621606714
2.4,0,94,110.301276993877
2.4,0,96,109.928044578597
2.4,0,98,109.596477571338
2.4,0,100,109.308142843784
2.4,0,102,109.063607377756
2.4,0,104,108.862513037787
2.4,0,106,108.703724712255
2.4,0,108,108.585529484016
2.4,0,110,108.505861730756
2.4,0,112,108.462530783647
2.4,0,114,108.453432880603
2.4,0,116,108.47673604086
2.4,0,118,108.531033592119
2.4,0,120,108.615468230797
2.4,0,122,108.729833076772
2.4,0,124,108.874659106253
2.4,0,126,109.051299897777
2.4,0,128,109.262025292529
2.4,0,130,109.51013587792
2.4,0,132,109.80011060338
2.4,0,134,110.137800619338
2.4,0,136,110.530683629693
2.4,0,138,110.988194278264
2.4,0,140,111.522146180019
2.4,0,142,112.147257422848
2.4,0,144,112.881777784818
2.4,0,146,113.748180192306
2.4,0,148,114.773796178569
2.4,0,150,115.991097185577
2.4,0,152,117.43696428219
2.4,0,154,119.149615788946
2.4,0,156,121.1607454726
2.4,0,158,123.478996078499
2.4,0,160,126.060334178345
2.4,0,162,128.764853666453
2.4,0,164,131.314222482579
2.4,0,166,133.290079460655
2.4,0,168,134.226979292106
2.4,0,170,133.806188590958
2.4,0,172,132.047594633742
2.4,0,174,129.337990311886
2.4,0,176,126.246202509056
2.4,0,178,123.272883835384
2.4,0,180,120.716656504132
4,0,0,-130.746168630104
4,0,2,-134.32525198052
4,0,4,-137.375738284867
4,0,6,-139.94164506459
4,0,8,-142.045379050592
4,0,10,-143.691407145734
4,0,12,-144.871329682924
4,0,14,-145.569078721418
4,0,16,-145.765593354688
4,0,18,-145.442819532257
4,0,20,-144.587202101502
4,0,22,-143.192941581659
4,0,24,-141.265176826498
4,0,26,-138.822977858168
4,0,28,-135.901695657762
4,0,30,-132.553972840281
4,0,32,-128.848740014343
4,0,34,-124.867898304899
4,0,36,-120.70102442623
4,0,38,-116.439039796253
4,0,40,-112.168035638535
4,0,42,-107.964225160046
4,0,44,-103.890482956512
4,0,46,-99.9944516213011
4,0,48,-96.30795794128
4,0,50,-92.8474796366153
4,0,52,-89.6154959872744
4,0,54,-86.6026096108598
4,0,56,-83.7902979747497
4,0,58,-81.1540720946303
4,0,60,-78.6667392635208
4,0,62,-76.3014267788405
4,0,64,-74.0340455255464
4,0,66,-71.8449641747853
4,0,68,-69.7198227365774
4,0,70,-67.6496133754507
4,0,72,-65.6303441598525
4,0,74,-63.6627070668821
4,0,76,-61.7521348123385
4,0,78,-59.909435162524
4,0,80,-58.1518808440993
4,0,82,-56.5043071984314
4,0,84,-54.9995558176075
4,0,86,-53.6776160489706
4,0,88,-52.5831084143447
4,0,90,-51.7612606116737
4,0,92,-51.2530618482688
4,0,94,-51.0906117633994
4,0,96,-51.2936574358927
4,0,98,-51.867963129494
4,0,100,-52.8056587318072
4,0,102,-54.0872706830503
4,0,104,-55.6848806527948
4,0,106,-57.5657996952969
4,0,108,-59.6962334774203
4,0,110,-62.0445709883529
4,0,112,-64.5840912526404
4,0,114,-67.295010750918
4,0,116,-70.1658729931568
4,0,118,-73.1943134290373
4,0,120,-76.3872300092853
4,0,122,-79.7603659354528
4,0,124,-83.3372745908142
4,0,126,-87.1475876518716
4,0,128,-91.2244433997273
4,0,130,-95.6008615657657
4,0,132,-100.304814102248
4,0,134,-105.352831798878
4,0,136,-110.742349146902
4,0,138,-116.443747177245
4,0,140,-122.394121764364
4,0,142,-128.495656644722
4,0,144,-134.621172184492
4,0,146,-140.627267823613
4,0,148,-146.372123296271
4,0,150,-151.732582060647
4,0,152,-156.615498097123
4,0,154,-160.961218807316
4,0,156,-164.740362556868
4,0,158,-167.946832953254
4,0,160,-170.589986696259
4,0,162,-172.687862181721
4,0,164,-174.262267542926
4,0,166,-175.33574042855
4,0,168,-175.929952684071
4,0,170,-176.06491794227
4,0,172,-175.758269283564
4,0,174,-175.023890266993
4,0,176,-173.869347705263
4,0,178,-172.291917080477
4,0,180,-170.273452552442
6,0,0,-43.9258819839484
6,0,2,-45.8997635737218
6,0,4,-47.2497493885733
6,0,6,-47.9229571847805
6,0,8,-47.9302384624621
6,0,10,-47.3444617769642
6,0,12,-46.2957816709513
6,0,14,-44.962237718199
6,0,16,-43.5544888803235
6,0,18,-42.2972769755614
6,0,20,-41.4139600798427
6,0,22,-41.1197163665437
6,0,24,-41.6221933843172
6,0,26,-43.1171998254505
6,0,28,-45.7542979096234
6,0,30,-49.5409728750816
6,0,32,-54.1832816859646
6,0,34,-58.9618627393129
6,0,36,-62.8328729663583
6,0,38,-64.78915166359
6,0,40,-64.2225970954917
6,0,42,-61.0793366650181
6,0,44,-55.8523969476012
6,0,46,-49.4455144680636
6,0,48,-42.8670830111484
6,0,50,-36.883324364241
6,0,52,-31.8666044967788
6,0,54,-27.8680433491966
6,0,56,-24.7647584606349
6,0,58,-22.3724776965577
6,0,60,-20.5055110670747
6,0,62,-19.0017333894556
6,0,64,-17.7288818416177
6,0,66,-16.5807298091565
6,0,68,-15.467870287061
6,0,70,-14.3075487057397
6,0,72,-13.0172925944068
6,0,74,-11.5157453952601
6,0,76,-9.73074932138268
6,0,78,-7.61072420018347
6,0,80,-5.13310825737802
6,0,82,-2.30539126813779
6,0,84,0.839417630139117
6,0,86,4.24377044599356
6,0,88,7.81276694037561
6,0,90,11.3876443965749
6,0,92,14.7241544394492
6,0,94,17.5056616299484
6,0,96,19.4058811308215
