"Freq [GHz]","Phi [deg]","Theta [deg]","ang_deg(rEPhi) [deg]"
0.9,0,0,-92.2029355315175
0.9,0,2,-92.9428329400472
0.9,0,4,-93.63653309096
0.9,0,6,-94.2856398266463
0.9,0,8,-94.8916794882667
0.9,0,10,-95.4560958238059
0.9,0,12,-95.9802472532535
0.9,0,14,-96.465406133811
0.9,0,16,-96.9127597402963
0.9,0,18,-97.3234127423594
0.9,0,20,-97.6983910205858
0.9,0,22,-98.0386467182294
0.9,0,24,-98.3450644744475
0.9,0,26,-98.6184688287624
0.9,0,28,-98.8596328251175
0.9,0,30,-99.0692878771335
0.9,0,32,-99.248134983414
0.9,0,34,-99.396857401907
0.9,0,36,-99.5161349037291
0.9,0,38,-99.6066597271205
0.9,0,40,-99.6691543382006
0.9,0,42,-99.7043910730088
0.9,0,44,-99.7132136803152
0.9,0,46,-99.6965607016726
0.9,0,48,-99.6554905087989
0.9,0,50,-99.5912076636982
0.9,0,52,-99.5050900703953
0.9,0,54,-99.3987161478895
0.9,0,56,-99.2738909753709
0.9,0,58,-99.1326700526143
0.9,0,60,-98.9773789988366
0.9,0,62,-98.810627210331
0.9,0,64,-98.6353132500987
0.9,0,66,-98.4546196011838
0.9,0,68,-98.271994436731
0.9,0,70,-98.0911183028452
0.9,0,72,-97.9158541264486
0.9,0,74,-97.7501797811998
0.9,0,76,-97.5981035686778
0.9,0,78,-97.4635643525661
0.9,0,80,-97.3503196206033
0.9,0,82,-97.2618262905978
0.9,0,84,-97.2011204308969
0.9,0,86,-97.1707030248169
0.9,0,88,-97.1724392834439
0.9,0,90,-97.2074786689181
0.9,0,92,-97.2762016874941
0.9,0,94,-97.3781977149297
0.9,0,96,-97.5122758025899
0.9,0,98,-97.6765078450199
0.9,0,100,-97.8683009781373
0.9,0,102,-98.0844939242125
0.9,0,104,-98.3214704495576
0.9,0,106,-98.5752823000767
0.9,0,108,-98.8417739598481
0.9,0,110,-99.1167022598135
0.9,0,112,-99.3958450837216
0.9,0,114,-99.6750949656614
0.9,0,116,-99.9505350295727
0.9,0,118,-100.218496294632
0.9,0,120,-100.475596719252
0.9,0,122,-100.718763396888
0.9,0,124,-100.945240020887
0.9,0,126,-101.152582120173
0.9,0,128,-101.33864267983
0.9,0,130,-101.50155066342
0.9,0,132,-101.639684713025
0.9,0,134,-101.751643978806
0.9,0,136,-101.836217672048
0.9,0,138,-101.892354581109
0.9,0,140,-101.919133463387
0.9,0,142,-101.915734942568
0.9,0,144,-101.881415305207
0.9,0,146,-101.815482404414
0.9,0,148,-101.717273737567
0.9,0,150,-101.586136664175
0.9,0,152,-101.421410662892
0.9,0,154,-101.22241148713
0.9,0,156,-100.988417061026
0.9,0,158,-100.71865495693
0.9,0,160,-100.412291308292
0.9,0,162,-100.068421034833
0.9,0,164,-99.6860592883276
0.9,0,166,-99.2641340657764
0.9,0,168,-98.8014799817193
0.9,0,170,-98.2968332427774
0.9,0,172,-97.7488279256042
0.9,0,174,-97.1559937248277
0.9,0,176,-96.516755411075
0.9,0,178,-95.8294343214684
0.9,0,180,-95.0922522965525
2.4,0,0,-35.9410637942686
2.4,0,2,-33.464375852214
2.4,0,4,-31.1880138442285
2.4,0,6,-29.3314759329267
2.4,0,8,-28.0836910672558
2.4,0,10,-27.5693487907313
2.4,0,12,-27.8311628090851
2.4,0,14,-28.8308101238866
2.4,0,16,-30.464656867038
2.4,0,18,-32.5878506943981
2.4,0,20,-35.0404324775695
2.4,0,22,-37.6701103709953
2.4,0,24,-40.348040583726
2.4,0,26,-42.9763758948229
2.4,0,28,-45.4887102951069
2.4,0,30,-47.8459189046881
2.4,0,32,-50.0300048559203
2.4,0,34,-52.0378677656098
2.4,0,36,-53.8760201397775
2.4,0,38,-55.5565832776123
2.4,0,40,-57.094493059411
2.4,0,42,-58.5056800548835
2.4,0,44,-59.8059614566205
2.4,0,46,-61.0104181204916
2.4,0,48,-62.1330835081162
2.4,0,50,-63.186821577594
2.4,0,52,-64.1833105497597
2.4,0,54,-65.1330784461795
2.4,0,56,-66.0455562354275
2.4,0,58,-66.9291276922471
2.4,0,60,-67.7911637504484
2.4,0,62,-68.6380348354659
2.4,0,64,-69.4750985935464
2.4,0,66,-70.306663457256
2.4,0,68,-71.1359312133724
2.4,0,70,-71.96492456643
2.4,0,72,-72.7944087982483
2.4,0,74,-73.6238199376634
2.4,0,76,-74.4512150093664
2.4,0,78,-75.2732622568317
2.4,0,80,-76.0852898243825
2.4,0,82,-76.8814092715936
2.4,0,84,-77.6547247551689
2.4,0,86,-78.3976296336874
2.4,0,88,-79.1021804335549
2.4,0,90,-79.760525373842
2.4,0,92,-80.3653535413773
2.4,0,94,-80.9103240105883
2.4,0,96,-81.3904336896925
2.4,0,98,-81.8022890205481
2.4,0,100,-82.1442587634777
2.4,0,102,-82.4165004755315
2.4,0,104,-82.6208688164799
2.4,0,106,-82.7607266261267
2.4,0,108,-82.8406879163921
2.4,0,110,-82.8663249036237
2.4,0,112,-82.8438695364442
2.4,0,114,-82.7799349941901
2.4,0,116,-82.6812759704223
2.4,0,118,-82.5545997190483
2.4,0,120,-82.4064339547726
2.4,0,122,-82.2430534382286
2.4,0,124,-82.0704647132447
2.4,0,126,-81.8944480032678
2.4,0,128,-81.7206566032297
2.4,0,130,-81.5547771371088
2.4,0,132,-81.4027588568061
2.4,0,134,-81.2711270593369
2.4,0,136,-81.1674053786423
2.4,0,138,-81.1006853044517
2.4,0,140,-81.0824004709361
2.4,0,142,-81.127390224062
2.4,0,144,-81.2553739391281
2.4,0,146,-81.4930049830039
2.4,0,148,-81.8767242677096
2.4,0,150,-82.4566583918571
2.4,0,152,-83.3017133247938
2.4,0,154,-84.5055457443407
2.4,0,156,-86.191619421029
2.4,0,158,-88.5117418807597
2.4,0,160,-91.6244115325899
2.4,0,162,-95.6278704197902
2.4,0,164,-100.424789078797
2.4,0,166,-105.558588250277
2.4,0,168,-110.195951726603
2.4,0,170,-113.425852759357
2.4,0,172,-114.703593788431
2.4,0,174,-114.048099125335
2.4,0,176,-111.898373373377
2.4,0,178,-108.839593755377
2.4,0,180,-105.389605238959
4,0,0,42.8839289068911
4,0,2,39.7853347154764
4,0,4,37.1506327759084
4,0,6,34.9411822306166
4,0,8,33.1241529196698
4,0,10,31.6776488393936
4,0,12,30.5930100231412
4,0,14,29.8747470822125
4,0,16,29.5384868690256
4,0,18,29.6071755458332
4,0,20,30.1056984655282
4,0,22,31.0541189278576
4,0,24,32.4599926104381
4,0,26,34.3107221111223
4,0,28,36.5675707532943
4,0,30,39.16339509443
4,0,32,42.0058258238255
4,0,34,44.986178146279
4,0,36,47.9922171524923
4,0,38,50.9212541173924
4,0,40,53.6900386789749
4,0,42,56.2395363424375
4,0,44,58.5348033013633
4,0,46,60.5615770318562
4,0,48,62.321483757268
4,0,50,63.82727931097
4,0,52,65.0988508977426
