"Freq [GHz]","Phi [deg]","Theta [deg]","ang_deg(rEPhi) [deg]"
0.9,0,0,90.0374208830895
0.9,0,2,86.5010514990298
0.9,0,4,83.2833927027142
0.9,0,6,80.3721468252948
0.9,0,8,77.7539557035129
0.9,0,10,75.4154541679809
0.9,0,12,73.3440030397654
0.9,0,14,71.528172448581
0.9,0,16,69.9580420691812
0.9,0,18,68.6253740591679
0.9,0,20,67.5237021100742
0.9,0,22,66.6483685766124
0.9,0,24,65.9965320331726
0.9,0,26,65.5671598783254
0.9,0,28,65.3610144241866
0.9,0,30,65.3806357713873
0.9,0,32,65.6303201477721
0.9,0,34,66.1160877549582
0.9,0,36,66.8456290268748
0.9,0,38,67.8282121229559
0.9,0,40,69.0745271501432
0.9,0,42,70.5964340080879
0.9,0,44,72.4065714191924
0.9,0,46,74.5177761935341
0.9,0,48,76.9422572830815
0.9,0,50,79.6904741918631
0.9,0,52,82.7696918728201
0.9,0,54,86.182233910444
0.9,0,56,89.9235399497885
0.9,0,58,93.9802498391823
0.9,0,60,98.3286640875603
0.9,0,62,102.934019784453
0.9,0,64,107.751005607341
0.9,0,66,112.725763229808
0.9,0,68,117.799289566093
0.9,0,70,122.911761039778
0.9,0,72,128.007009552254
0.9,0,74,133.036329633863
0.9,0,76,137.961012728287
0.9,0,78,142.753381134849
0.9,0,80,147.396464643349
0.9,0,82,151.882700637848
0.9,0,84,156.212107541885
0.9,0,86,160.390321764812
0.9,0,88,164.426767910181
0.9,0,90,168.333108012552
0.9,0,92,172.122018881959
0.9,0,94,175.806285250622
0.9,0,96,179.39816531344
0.9,0,98,-177.091024963494
0.9,0,100,-173.651160558277
0.9,0,102,-170.273433489916
0.9,0,104,-166.950391604684
0.9,0,106,-163.675916804042
0.9,0,108,-160.445162298547
0.9,0,110,-157.254462904478
0.9,0,112,-154.101228305516
0.9,0,114,-150.983826321157
0.9,0,116,-147.901461270842
0.9,0,118,-144.854051237101
0.9,0,120,-141.842107194666
0.9,0,122,-138.866616415464
0.9,0,124,-135.928932156631
0.9,0,126,-133.030671304347
0.9,0,128,-130.173621327951
0.9,0,130,-127.359657570416
0.9,0,132,-124.590671556917
0.9,0,134,-121.868510650407
0.9,0,136,-119.19492903718
0.9,0,138,-116.571549704139
0.9,0,140,-113.99983678959
0.9,0,142,-111.481077463459
0.9,0,144,-109.016372328226
0.9,0,146,-106.606633230272
0.9,0,148,-104.252587329514
0.9,0,150,-101.954786285985
0.9,0,152,-99.713619475714
0.9,0,154,-97.5293302341929
0.9,0,156,-95.4020342329587
0.9,0,158,-93.3317392136661
0.9,0,160,-91.3183654259555
0.9,0,162,-89.3617662338583
0.9,0,164,-87.4617484655144
0.9,0,166,-85.618092179424
0.9,0,168,-83.8305696055259
0.9,0,170,-82.0989630904794
0.9,0,172,-80.4230819338775
0.9,0,174,-78.8027780466119
0.9,0,176,-77.2379603955208
0.9,0,178,-75.7286082212489
0.9,0,180,-74.2747830305302
2.4,0,0,55.1312066822749
2.4,0,2,49.9084502963982
2.4,0,4,44.5593127878227
2.4,0,6,39.1734842619982
2.4,0,8,33.8574274971111
2.4,0,10,28.723383328101
2.4,0,12,23.8776036735433
2.4,0,14,19.4109495746887
2.4,0,16,15.3939867974528
2.4,0,18,11.8769586412692
2.4,0,20,8.89356620568156
2.4,0,22,6.46692404721705
2.4,0,24,4.61628776499916
2.4,0,26,3.3637387690367
2.4,0,28,2.74057932258114
2.4,0,30,2.79353952417586
2.4,0,32,3.59093618673955
2.4,0,34,5.22851359089878
2.4,0,36,7.83348016574438
2.4,0,38,11.5625166079214
2.4,0,40,16.5844397531948
2.4,0,42,23.0318095986882
2.4,0,44,30.9071524199431
2.4,0,46,39.961696457378
2.4,0,48,49.6368357977097
2.4,0,50,59.1843390773283
2.4,0,52,67.9333776555536
2.4,0,54,75.4954744210036
2.4,0,56,81.7772100666924
2.4,0,58,86.871813050457
2.4,0,60,90.9470539742177
2.4,0,62,94.1772197336203
2.4,0,64,96.7139387621252
2.4,0,66,98.6786641520117
2.4,0,68,100.164404164858
2.4,0,70,101.240342606353
2.4,0,72,101.956683483832
2.4,0,74,102.348823262059
2.4,0,76,102.440687238007
2.4,0,78,102.247329015829
2.4,0,80,101.776963286396
2.4,0,82,101.03260475286
2.4,0,84,100.013468998113
2.4,0,86,98.7162707947517
2.4,0,88,97.1365340640276
2.4,0,90,95.2700011124232
2.4,0,92,93.1141896056816
2.4,0,94,90.6700865256643
2.4,0,96,87.9438857449025
2.4,0,98,84.9485768463982
2.4,0,100,81.7051011473391
2.4,0,102,78.2427481542191
2.4,0,104,74.5985197498384
2.4,0,106,70.8153671850528
2.4,0,108,66.9394814875245
2.4,0,110,63.0171018911544
2.4,0,112,59.0914794752841
2.4,0,114,55.200610123585
2.4,0,116,51.3761369236854
2.4,0,118,47.6435080913657
2.4,0,120,44.0231829765009
2.4,0,122,40.5324921926155
2.4,0,124,37.1877028939621
